id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
62,1,256,16,4,1.665940432093094,4,256,RS,4,True,16,9,64,29,1,False,False,10,5.900000000000867e-05,1.6659769999999998,True,False,1.6660135679069057
63,8,16,2,8,1.74639957137976,1,16,RS,1,False,4,14,1024,3,1,False,False,10,8.136338242723283e-05,1.7464499999999998,True,False,1.7465004286202397
64,2,256,16,2,1.0812698337932534,4,32,RS,512,True,1,9,1,1,19,False,False,10,0.006471762433835132,1.0852809999999997,True,True,1.089292166206746
65,2,8,2,1,1.9088574094889104,2,8,RS,16,False,2048,6,2048,1,30,False,False,10,4.935585071703148e-05,1.908888,True,False,1.9089185905110895
66,8,1,1,1,3.037115443397489,2048,128,RS,8,False,2048,25,2048,15,1,False,False,10,0.011346584331859422,3.0441480000000003,True,True,3.0511805566025116
67,4,2048,4,16,1.0807438125573947,1,2,RS,32,True,128,20,1,1,24,False,False,10,2.773084924772e-05,1.080761,True,False,1.0807781874426055
68,8,2,2,1,1.7921323645092893,256,2,RS,2,True,1024,20,1024,1,30,False,False,10,2.2000000000002825e-05,1.792146,True,False,1.7921596354907108
69,4,2048,2,2,1.0759113053210294,128,1024,RS,256,True,2048,1,512,1,28,False,False,10,0.0024648385342655307,1.077439,True,True,1.0789666946789707
70,4,256,1,8,0.04996867369158097,16,64,RS,1,True,32,9,8,1,12,False,False,10,0.005408846689128839,0.05332105,True,True,0.05667342630841903
71,1,128,32,2,1.3852723614390752,64,8,RS,1024,True,512,1,1,19,23,True,False,10,0.005257606774950013,1.388531,True,True,1.3917896385609247
72,2,1024,1,1,1.593666251208872,8,512,RS,32,False,1,8,1024,1,26,False,False,10,0.0027488906853492764,1.5953699999999997,True,True,1.5970737487911275
