id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
91,32,512,DLMT,1,1,True,8,128,True,256,16,8,False,0.1155159986286244,512,1,2048,256,True,False,False,32,False,512,True,1024,True,1,16,512,True,1,1,16,1,8,1,4,3.950289062014331e-05,35,0.11554217279994707,1,0.11552908571428573,8,1,8,True,1024,1,1,512,True,1,8,1,8
92,32,512,DLMT,1,1,False,32,16,False,1,64,1,False,0.13419780260761316,64,128,1,512,False,True,False,256,False,64,True,1,False,8,4,1024,False,1,1,16,1,12,1,8,3.655865848474318e-05,35,0.13422202596381533,12,0.13420991428571424,4,1,1,True,1,1,12,64,True,1,8,1,8
93,256,1,DLMT,8,1,False,1,16,False,16,16,8,False,0.13047570292915958,1,512,2048,1024,False,True,False,16,False,16,False,1024,False,1,1,2048,False,1,8,8,1,16,1,16,2.7027967374705332e-05,35,0.1304936113565547,1,0.13048465714285715,8,1,1,True,1024,512,1,2048,False,1,32,1,8
94,256,128,DLMT,1,1,False,8,64,True,128,256,32,True,0.11631612368411559,16,128,1,256,True,False,True,1,True,256,False,2048,False,16,16,256,False,1,1,4,1,16,12,1,4.9646916586337176e-05,35,0.11634901917302723,8,0.11633257142857141,8,1,32,True,1,2048,4,2048,False,1,1,1,8
95,16,1024,DLMT,32,1,True,1,256,False,128,32,1,True,0.0898470635315882,16,512,1,1,True,False,True,512,False,64,False,512,False,12,8,1024,False,1,16,1,12,4,1,16,3.0061860846444122e-05,35,0.08986698218269754,12,0.08985702285714287,4,1,32,True,1024,1,8,128,True,1,8,1,8
96,1,2048,DLMT,1,1,True,1,1,False,256,1,32,False,0.14917050937707693,64,256,2048,1,False,True,True,32,True,512,False,2048,True,12,1,1024,True,1,4,4,1,8,1,4,0.0001079895686572359,35,0.14924206205149448,1,0.1492062857142857,12,1,1,True,1,1024,4,1,False,1,1,1,8
97,64,1,DLMT,32,1,False,1,64,False,1,1,1,True,0.15015000148782287,128,16,1,1,True,True,True,32,True,256,True,2048,True,12,16,512,False,8,1,16,1,16,16,1,4.208151467748102e-05,35,0.1501778842264629,4,0.15016394285714288,4,1,1,True,2048,1,1,1,False,1,1,1,8
98,16,64,DLMT,8,1,True,1,512,False,64,64,1,False,0.08989999883233127,32,64,64,1024,False,False,False,1,False,64,True,2048,False,16,16,256,True,1,8,1,4,1,16,1,2.845469926399016e-05,35,0.08991885259624016,8,0.08990942571428572,12,1,1,True,512,1024,16,1,True,1,32,1,8
99,64,128,DLMT,1,1,False,32,32,False,1,512,32,False,0.1606158844118046,32,1,1,64,False,False,True,128,True,256,False,1,True,12,4,2048,False,16,1,1,8,12,4,1,0.00015480798903605577,35,0.16071845844533825,1,0.16066717142857143,8,1,1,True,256,64,16,1,False,1,8,1,8
100,16,1024,DLMT,32,1,False,32,128,False,256,1,1,True,0.12430965070553714,16,1,512,256,False,False,False,256,True,128,False,128,True,12,4,1024,False,1,1,1,4,4,4,1,2.5202040733694846e-05,35,0.12432634929446289,4,0.12431800000000001,16,1,32,True,1,128,1,512,True,1,8,1,8
101,128,2048,DLMT,8,1,False,32,512,False,256,1,8,True,0.11897690250211707,256,16,128,2048,True,False,True,64,False,16,False,2048,True,12,8,1024,False,1,16,16,1,16,16,1,5.833503515496262e-05,35,0.1190155546407401,16,0.11899622857142858,16,1,1,True,1,1,4,1024,True,1,1,1,8
102,32,256,DLMT,1,1,False,32,1,False,512,128,32,True,0.1698416942235518,1,64,128,512,False,True,True,32,True,32,True,128,True,16,1,64,False,1,4,1,16,8,1,12,0.000309496188364646,35,0.17004676291930534,1,0.16994422857142857,8,1,1,True,2048,64,4,2048,True,1,8,1,8
103,64,1,DLMT,1,1,True,1,16,False,512,1,32,True,0.157459787781951,32,32,1024,512,False,False,False,64,False,32,True,1024,True,4,16,1,False,1,8,1,12,16,1,1,0.00034793636058970596,35,0.15769032650376333,12,0.15757505714285716,8,1,32,True,512,1,1,512,False,1,32,1,8
104,256,256,DLMT,8,1,True,1,512,False,1,1,8,True,0.10893231922765975,256,128,2048,512,False,True,True,16,False,256,True,1,False,8,8,2048,False,4,1,12,1,1,1,1,3.4309325203482354e-05,35,0.10895505220091167,1,0.10894368571428571,12,1,32,True,2048,1024,1,64,True,1,32,1,8
105,1,1,DLMT,1,1,True,1,512,False,16,1,1,True,0.12014486529410316,512,1,128,128,True,False,True,1,False,32,False,1,False,16,1,1,False,16,1,1,8,8,1,16,2.4554312975814514e-05,35,0.12016113470589683,4,0.120153,8,1,32,True,512,2048,8,256,False,1,32,1,8
106,16,1024,DLMT,8,1,False,1,256,False,256,1,8,False,0.11476287436999921,32,256,256,1024,True,False,False,512,True,64,True,256,True,12,4,64,False,1,16,4,1,12,1,12,3.358230826747036e-05,35,0.11478512563000082,1,0.11477400000000001,4,1,1,True,1024,512,12,2048,False,1,1,1,8
107,32,1,DLMT,1,1,False,8,1,True,1,1,1,True,0.1226723332129675,32,16,512,1024,False,False,False,512,True,128,True,1024,False,16,8,256,True,1,16,8,1,8,1,16,3.331845109955554e-05,35,0.12269440964417533,12,0.12268337142857141,12,1,32,True,1024,1,1,1024,False,1,1,1,8
108,1,256,DLMT,1,1,True,32,64,True,64,16,32,False,0.1639800119328957,128,16,256,1,False,True,True,64,True,256,True,1024,True,8,1,128,True,1,16,1,16,12,1,16,6.1281911303917e-05,35,0.1640206166385329,16,0.1640003142857143,12,1,32,True,1,512,16,1024,False,1,32,1,8
109,16,2048,DLMT,32,1,True,32,256,True,1,1,1,True,0.1283899844579344,64,256,1,1,False,True,False,256,True,1,False,256,False,1,16,64,False,12,1,1,4,16,1,16,3.437115544363416e-05,35,0.1284127583992085,8,0.12840137142857144,12,1,1,True,1024,2048,1,128,True,1,32,1,8
110,1,64,DLMT,1,1,True,8,1,True,256,16,1,True,0.11886482163608962,512,1,64,256,True,True,True,32,False,1,True,512,True,1,8,1024,False,1,16,1,8,1,8,1,4.892004305236174e-05,35,0.11889723550676752,1,0.11888102857142857,4,1,1,True,128,2048,12,1,False,1,32,1,8
111,32,128,DLMT,32,1,True,32,16,True,16,256,1,False,0.11657314368933892,128,128,256,64,True,False,True,64,True,32,True,2048,True,4,8,128,False,1,12,1,1,12,8,1,4.0358657367284375e-05,35,0.11659988488208965,16,0.11658651428571429,4,1,32,True,1024,1,16,1024,True,1,32,1,8
112,64,1,DLMT,8,1,False,8,512,True,1,32,8,False,0.08484921483705804,512,128,64,1,True,False,False,512,True,16,True,256,True,1,4,1,True,1,12,1,16,1,4,1,3.387412063773006e-05,35,0.08487165944865627,16,0.08486043714285715,16,1,8,True,1,1,1,64,True,1,8,1,8
113,1,2048,DLMT,1,1,False,32,64,True,128,32,32,False,0.18065599990592707,128,128,1024,512,True,True,True,16,False,1,True,64,False,16,16,128,True,4,1,1,16,16,16,1,6.666520678673864e-05,35,0.18070017152264434,8,0.1806780857142857,12,1,32,True,1,256,1,1024,False,1,32,1,8
114,32,2048,DLMT,1,1,False,1,128,True,16,64,8,True,0.08995032800068126,256,16,2048,1,True,False,True,512,False,256,False,1024,False,8,8,1,False,1,16,8,1,8,16,1,2.8935851641243946e-05,35,0.08996950057074729,1,0.08995991428571427,4,1,8,True,1024,1,8,1,True,1,32,1,8
115,512,128,DLMT,8,1,True,1,1,True,16,16,8,False,0.1353670854496974,256,128,2048,1,True,False,False,128,True,1,False,1,True,12,12,2048,False,1,8,4,1,8,16,1,1.9146481533221577e-05,35,0.1353797716931598,8,0.1353734285714286,4,1,8,True,128,2048,1,64,False,1,1,1,8
116,64,2048,DLMT,8,1,True,1,32,False,1,128,8,True,0.12300587300346431,64,1,1024,1,True,True,True,512,False,32,True,128,False,1,16,1,True,1,1,12,1,1,4,1,3.453509306576772e-05,35,0.12302875556796421,12,0.12301731428571426,12,1,1,True,1,1024,16,1024,False,1,1,1,8
