id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
37,512,1,DLMT,8,4,False,1,16,0.0004197153797515861,False,8,1,1,True,5.156052862492647,4,2,1024,64,False,False,True,32,False,4,True,4,False,16,8,128,True,12,1,4,1,1,1,12,False,10,5.156573137507351,12,5.156312999999999,4,2,1,True,1,64,1,32,False,1,2,4,16
38,256,1,DLMT,1,4,True,2,2,0.0004910193478875867,False,64,4,32,True,4.442605668647414,128,8,512,512,True,True,True,2,False,2,True,64,True,16,4,128,False,16,1,1,4,4,1,1,False,10,4.4432143313525865,1,4.44291,12,32,1,True,16,2048,1,128,False,8,1,4,1
39,2,2048,DLMT,2,1,True,2,16,6.527633568145918e-05,False,16,256,32,False,3.1800325420514177,1,4,512,16,True,False,True,16,True,4,True,32,True,16,4,2048,True,1,12,16,1,8,12,1,False,10,3.1801134579485826,1,3.180073,4,16,8,True,64,256,8,1024,False,12,1,2,1
40,64,1,DLMT,1,8,False,1,512,0.0003443965737343974,True,2,1,8,False,4.542337544714457,512,2,64,64,False,False,True,4,False,1024,False,1024,True,8,16,2048,False,1,12,1,12,4,4,1,False,10,4.5427644552855435,16,4.5425510000000004,4,16,1,True,32,2048,4,2,False,1,1,2,1
41,2,1024,DLMT,1,8,False,1,32,0.00010031948963187148,False,2,32,4,False,2.2631538224786834,512,16,2048,1,False,True,False,4,False,512,True,1024,True,1,1,512,False,16,1,1,12,1,1,12,False,10,2.2632781775213173,8,2.2632160000000003,16,32,4,True,256,1,12,512,True,1,32,2,16
42,16,1,DLMT,4,2,True,16,1024,0.00015875767697975596,False,16,1,8,False,1.722827602780468,32,128,1,1024,True,True,True,8,True,2,False,2048,True,1,1,2048,True,1,1,1,16,16,12,1,False,10,1.7230243972195327,8,1.7229260000000004,4,2,8,True,64,2048,1,1024,True,4,32,4,1
43,4,64,DLMT,32,1,True,2,2,9.260669522230412e-05,False,1,256,4,False,2.502960602830343,256,16,256,32,True,False,False,128,True,2,False,256,False,1,1,1,False,4,1,8,1,1,8,1,False,10,2.503075397169657,16,2.503018,4,16,1,True,256,256,16,1024,True,16,4,4,1
44,4,1,DLMT,8,4,True,16,4,0.0009616880991256553,True,64,32,1,False,3.6050799504935354,512,8,1024,1,False,False,True,256,True,8,True,512,True,1,1,2048,True,16,1,12,1,4,16,1,False,10,3.6062720495064644,12,3.605676,8,32,2,True,1,4,1,1,False,1,2,32,4
45,4,16,DLMT,8,4,True,32,8,0.0005008402939061513,False,32,1,1,True,2.4570965816738592,1,8,16,256,False,True,True,256,False,2048,False,1,False,16,8,2048,True,1,16,16,1,16,1,1,False,10,2.4577174183261414,12,2.4574070000000003,1,1,16,True,2048,16,12,512,True,1,4,8,4
46,1,32,DLMT,8,8,True,4,32,0.0002431069723393262,True,16,8,4,False,1.5851323235062256,1,16,256,16,True,False,False,16,True,2048,False,2048,False,12,12,8,False,1,4,12,1,12,16,1,False,10,1.5854336764937744,8,1.585283,4,8,1,True,128,2048,1,1,True,1,16,8,1
47,256,64,DLMT,16,2,True,1,1,0.00042652198067624097,True,2,32,1,False,5.745208643795208,64,2,1024,32,False,False,False,2048,False,256,False,256,False,12,12,128,True,1,1,12,1,1,1,4,False,10,5.745737356204791,8,5.745473,4,32,4,True,2048,32,16,1024,False,1,2,32,1
48,1,1,DLMT,32,16,False,1,8,0.0001313963469812162,True,1,1,4,True,4.639293561196879,8,1024,1024,1,False,True,True,128,True,128,False,128,False,16,12,1024,False,1,8,8,1,4,1,8,False,10,4.639456438803122,12,4.639375,4,2,4,True,1,2048,12,4,False,1,2,32,4
49,8,1,DLMT,32,4,False,4,1024,0.00014415269681833465,True,16,64,1,True,2.0410206548746186,16,4,32,512,True,False,False,2,False,64,False,128,True,1,1,64,False,4,1,1,1,12,16,1,False,10,2.041199345125381,1,2.0411099999999998,8,16,4,True,2,1024,1,128,True,16,2,16,1
50,8,2048,DLMT,8,1,False,32,64,8.03056660516827e-05,False,1024,128,4,True,3.270071226947116,32,2048,256,2048,False,True,False,8,False,1,True,2,False,4,12,2048,True,1,8,1,8,16,12,1,False,10,3.270170773052885,1,3.2701210000000005,1,16,4,True,1024,512,12,1,False,16,2,1,1
51,2048,1,DLMT,4,4,False,8,1,0.0005474522810254695,False,16,8,4,True,1.7685766917957968,2,16,2048,256,True,False,True,1,True,1,True,512,True,1,8,32,False,1,12,1,16,1,1,8,False,10,1.7692553082042035,1,1.7689160000000002,8,32,4,True,2048,64,4,128,True,1,1,4,8
52,128,512,DLMT,2,16,False,8,4,0.00029754999579911415,True,128,32,4,True,2.8737775799907417,16,64,256,2048,False,False,True,1024,True,256,False,512,True,8,4,16,True,8,1,16,1,4,1,12,False,10,2.8741464200092586,12,2.873962,8,2,1,True,1,256,16,2048,False,1,4,4,12
53,8,1024,DLMT,2,8,True,4,8,0.002263729003215697,False,8,8,1,True,2.207125952009323,64,8,2048,64,False,False,False,8,True,128,False,256,True,8,4,128,True,1,1,4,1,8,1,12,False,10,2.209932047990677,12,2.208529,16,16,4,True,256,256,4,128,True,1,16,1,1
54,256,16,DLMT,16,2,True,1,2,0.00012408061895397495,False,2,16,1,True,3.1878850954487667,4,2,2048,8,True,False,False,2048,True,256,True,2048,False,16,4,256,True,1,12,1,16,8,4,1,False,10,3.1880389045512327,1,3.1879619999999997,8,4,16,True,2048,2,8,128,True,1,16,8,16
55,8,1,DLMT,16,32,False,4,4,0.0012738037525460183,True,2,16,8,True,6.274498502762041,2,1024,32,128,True,False,True,2,True,1,True,256,False,8,12,16,True,4,1,8,1,1,4,1,False,10,6.276077497237958,1,6.275288,16,1,16,True,8,1,1,256,False,1,16,1,12
56,4,16,DLMT,1,2,True,2,64,0.00043977380549552447,True,1,2,1,False,3.265260430380016,16,16,2048,8,True,False,True,4,False,512,True,1,False,12,16,256,False,16,1,1,1,16,4,1,False,10,3.265805569619984,12,3.265533,1,2,32,True,4,512,1,1,False,1,16,2,8
