id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
56,1,512,2048,0.20348004134581105,8,16,32,16,RS,True,False,True,True,False,11,8,35,0.20352344436847464,6.550522023129852e-05,0.20350174285714284,27,1,True,25,1
57,128,1,64,inf,1,16,1,32,RS,True,True,True,True,True,8,32,1,inf,inf,inf,20,24,False,1,1
58,256,1024,1,0.11724910662989704,8,128,16,64,RS,False,False,False,True,False,12,1,35,0.11729472194153151,6.884407700576341e-05,0.11727191428571428,19,1,True,24,8
59,512,512,1,0.1665404433985359,8,512,256,1,RS,True,True,True,False,False,5,1,35,0.16656475660146414,3.6694258017143415e-05,0.16655260000000002,19,1,True,25,1
60,1024,64,1024,0.09332317631271472,1,256,64,128,RS,True,True,True,True,True,14,8,35,0.09334317797299957,3.018714093038769e-05,0.09333317714285715,1,3,True,5,8
61,256,2048,2048,0.09481393045985748,1,256,512,64,RS,True,True,True,True,True,23,1,35,0.09483501239728537,3.181752950298746e-05,0.09482447142857142,1,4,True,5,8
62,2048,2048,256,0.12021470314812012,1,1,256,512,RS,False,True,True,True,False,23,8,35,0.12023678256616559,3.332295892979557e-05,0.12022574285714285,8,12,True,1,1
63,2048,1024,1,0.09516417584137811,1,16,256,512,RS,True,True,True,True,True,14,8,35,0.09536909844433618,0.00030927570047794347,0.09526663714285714,3,1,True,25,8
64,512,256,1024,0.23314232508700652,1,256,128,512,RS,True,True,False,True,False,5,1,35,0.2332931034844221,0.00022755954591881442,0.2332177142857143,4,20,True,1,32
65,512,2048,64,0.17858475892666262,32,64,512,32,RS,False,True,True,False,False,22,1,35,0.17862621250190883,6.25630522769161e-05,0.17860548571428572,25,1,True,2,1
66,1024,1,1,0.12341842985158188,8,128,32,64,RS,False,False,False,False,False,1,1,35,0.12350602729127524,0.00013220483797377977,0.12346222857142856,27,9,True,1,1
67,512,256,2048,0.2456356626402667,1,128,16,32,RS,False,False,True,True,True,18,1,35,0.24577765164544763,0.0002142943160178329,0.24570665714285717,30,21,True,1,32
68,64,1,1,0.38173814723912436,1,512,32,16,RS,False,False,False,True,True,30,1,35,0.38199985276087556,0.00039497428487723555,0.38186899999999996,26,1,True,24,1
69,1,128,64,0.09288227991714199,8,1,16,128,RS,True,False,True,False,True,23,1,35,0.09290753151142944,3.811050805866953e-05,0.09289490571428571,20,18,True,1,8
70,128,1,1024,0.2769830351245863,8,16,512,16,RS,False,True,True,False,True,12,1,35,0.2770163363039852,5.02591975540402e-05,0.27699968571428574,29,1,True,21,1
71,1,512,1024,inf,32,128,16,256,RS,True,False,True,False,True,24,1,1,inf,inf,inf,8,29,False,1,1
72,512,512,2048,0.18940255205672332,8,128,16,32,RS,False,False,True,True,False,19,1,35,0.18944139080041952,5.861666545776864e-05,0.18942197142857142,8,1,True,23,1
73,64,512,128,0.2858222599444378,1,128,512,1,RS,True,False,True,False,False,7,1,35,0.28594448291270513,0.0001844627853624512,0.28588337142857145,25,1,True,3,32
74,256,256,1024,0.20400014293245078,32,256,32,32,RS,True,True,False,False,False,8,1,35,0.20401962849612065,2.9408231528479352e-05,0.20400988571428572,26,1,True,25,1
75,1,1024,2048,0.2877341766601519,1,128,32,512,RS,False,True,True,False,False,27,1,35,0.28796896619699097,0.0003543518256288937,0.28785157142857143,28,17,True,1,32
76,1024,2048,1,0.10699853893634355,8,512,512,64,RS,True,False,False,False,True,4,1,35,0.10704054677794218,6.339956865880438e-05,0.10701954285714287,1,11,True,3,8
77,512,1,256,0.24934412709778883,8,64,16,16,RS,True,False,False,False,True,25,8,35,0.24939438718792542,7.585412423372314e-05,0.24936925714285713,1,17,True,23,1
78,256,512,2048,0.2667641697645891,1,32,64,64,RS,False,False,True,True,True,8,1,35,0.26691228737826816,0.0002235438066003783,0.26683822857142864,9,1,True,7,32
