id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
21,1,32,2048,False,1,16,1,32,64,27,0.16761396775125925,32,64,64,DLMT,1,False,True,True,64,128,False,17,10,1,128,8,35,512,15,1,0.16765234285714284,8,False,0.00011583385709273213,True,0.16769071796302643
22,1,8,512,False,1,64,128,512,128,1,0.15637634925451632,64,1,128,DLMT,8,True,True,False,2048,256,False,29,1,26,2048,1,35,512,12,26,0.1569128,1,True,0.001619257004219618,True,0.15744925074548366
23,32,1,1024,False,1,32,64,64,2048,30,0.23527860641063514,256,16,128,DLMT,32,False,False,True,256,1,False,5,25,1,128,1,35,512,5,1,0.2353314,1,False,0.00015935552345978728,True,0.23538419358936485
24,1,32,512,False,1,16,256,1,256,1,0.2487858805437462,1,512,512,DLMT,1,False,False,True,2048,1,True,4,27,1,256,8,35,512,11,3,0.25011920000000004,1,False,0.0040245761359782575,True,0.2514525194562539
25,1,1,128,False,1,16,16,16,512,1,0.17698513449422498,256,64,64,DLMT,32,False,True,True,256,2048,False,26,15,1,2048,1,35,2048,15,27,0.18109765714285714,1,True,0.012413499580106579,True,0.1852101797914893
26,1,1,256,False,32,128,128,16,1,6,0.15627638812380368,1,16,16,DLMT,1,False,True,True,1,2048,True,21,16,1,256,8,35,1,18,1,0.15953757142857145,8,False,0.009843762829573756,True,0.1627987547333392
27,1,8,1,False,8,512,1,512,1024,1,0.19781111575647697,16,16,32,DLMT,8,False,False,False,128,1,True,3,23,1,512,1,35,2048,8,15,0.20059359999999998,8,True,0.008398827177307897,True,0.203376084243523
28,32,1,256,False,1,32,1,64,2048,4,inf,32,1,512,DLMT,8,False,False,True,2048,1,False,14,24,1,1,8,1,2048,30,1,inf,1,True,inf,False,inf
29,1,1,1,False,1,32,512,1,2048,28,0.10294556834217622,16,64,16,DLMT,8,False,False,False,128,64,False,1,1,6,2048,1,35,512,2,1,0.10378957142857143,8,True,0.002547592525006576,True,0.10463357451496663
30,1,1,128,False,1,32,512,64,2048,1,0.17043829746261613,512,16,256,DLMT,1,False,False,True,512,1024,True,1,27,19,1,8,35,1,11,30,0.17195731428571426,8,False,0.00458509686310787,True,0.1734763311088124
31,8,1,64,False,1,32,64,128,512,30,0.1369115072181556,32,32,64,DLMT,1,True,False,False,2048,1024,True,1,28,18,128,8,35,2048,1,1,0.13790548571428574,8,False,0.003000287827825178,True,0.13889946421041588
32,1,8,512,False,8,16,1,512,2048,12,0.2184097317495132,1,512,32,DLMT,8,False,True,False,128,2048,True,1,18,19,64,1,35,1024,8,1,0.21955534285714284,1,False,0.0034579853337114172,True,0.2207009539647725
33,1,8,256,False,1,1,1,64,256,1,0.19396307044281205,1,256,512,DLMT,8,False,True,True,1,1,False,2,11,1,256,1,35,128,9,30,0.1940712857142857,8,False,0.00032664384898790244,True,0.19417950098575934
34,1,32,64,False,1,512,64,1,64,1,0.16625353445156332,1,64,16,DLMT,1,True,True,True,128,128,True,9,1,17,2048,1,35,2048,7,29,0.1677152,32,False,0.0044119841328558096,True,0.1691768655484367
35,1,1,1,False,32,512,1,512,1,1,0.1632392996348021,16,1,512,DLMT,32,True,True,True,2048,1024,True,1,6,30,2048,1,35,512,7,30,0.16450334285714285,1,True,0.003815468351276399,True,0.1657673860794836
