id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
81,2048,1024,1,128,0.4800792189967747,32,2048,4,RS,500,10,False,1,128,64,1,5,7,False,6,1,False,10,0.08805424077101567,0.5346548,True,True,0.5892303810032253
82,2048,1,512,2,8.115884415365734,64,32,64,RS,500,10,False,2048,32,64,1,1,3,False,30,1,False,10,0.000509175804609682,8.116200000000001,True,False,8.116515584634268
83,128,2048,256,1,0.1876375998714852,1,16,512,RS,500,10,True,1,1024,1024,3,12,1,False,1,3,False,10,0.03064851949181232,0.2066334,True,True,0.22562920012851478
84,1024,32,4,8,5.376853294297871,512,128,4,RS,500,10,True,1,2048,8,2,1,1,True,5,6,False,10,0.010249687995251378,5.3832059999999995,True,True,5.389558705702128
85,1,1024,32,16,3.0411837926888374,256,1,4,RS,500,10,True,1024,2048,256,4,8,2,True,1,1,False,10,0.009622870465718662,3.047148,True,True,3.0531122073111625
86,1,2048,1024,4,10.608750167867079,256,4,16,RS,500,10,False,1024,16,16,4,2,4,False,5,1,False,10,0.0002256102834533508,10.60889,True,False,10.609029832132922
87,2048,1,256,16,0.32466820778179045,2,2,4,RS,500,10,False,16,1,256,1,1,3,False,2,6,False,10,0.04291385188957057,0.351266,True,True,0.3778637922182096
88,1024,128,16,4,5.755260264361011,64,8,2048,RS,500,10,True,128,4,2048,2,2,11,False,2,1,False,10,0.004189668363963903,5.757857,True,False,5.760453735638988
89,64,64,64,64,3.0162387002577473,256,8,16,RS,500,10,True,2048,128,1,3,2,1,True,11,1,False,10,7.631513611335051e-05,3.016286,True,False,3.0163332997422527
90,8,2,1,4,7.8383770244256015,16,1,8,RS,500,10,False,256,8,512,1,4,7,True,2,1,False,10,7.901898506067117e-05,7.838426,True,False,7.838474975574399
91,512,1,4,64,0.2576820499460849,8,1,8,RS,500,10,False,16,2048,16,2,20,1,True,2,1,False,10,0.037161559634116534,0.28071460000000004,True,True,0.30374715005391517
92,8,1024,2,1024,4.228936816077554,128,2,16,RS,500,10,True,128,1,1,1,16,1,True,6,1,False,10,0.00026328691574030634,4.229100000000001,True,False,4.2292631839224475
93,128,1,1024,512,9.2781922301348,32,128,256,RS,500,10,False,1,1,256,3,1,7,True,1,1,False,10,0.00015451860729379503,9.278288,True,False,9.278383769865199
94,2048,64,2,1,0.8520205935952304,2,512,4,RS,500,10,False,128,2048,64,1,10,1,True,5,2,False,10,0.009329384882724055,0.8578029,True,True,0.8635852064047697
95,8,256,8,128,7.488676409358672,4,8,16,RS,500,10,False,16,1,16,1,2,4,True,15,1,False,10,9.614572273386384e-05,7.488736,True,False,7.488795590641328
96,256,2048,4,1024,4.805484985404253,1,256,128,RS,500,10,True,128,1024,256,25,1,1,True,2,1,False,10,0.00030334963326154467,4.8056730000000005,True,False,4.805861014595748
97,2048,128,1,16,5.21406867011415,2,32,2,RS,500,10,False,16,1024,4,5,1,6,True,1,1,False,10,0.0010476526141809275,5.214718,True,False,5.215367329885851
98,8,128,16,4,1.9943418328136022,64,8,8,RS,500,10,False,128,64,512,4,4,2,False,7,1,False,10,0.012462454172433319,2.0020659999999997,True,True,2.009790167186397
99,16,512,512,1,3.796301429228131,1,2,1024,RS,500,10,True,8,1,1,1,4,6,True,1,3,False,10,0.0001316092701902868,3.796383,True,False,3.796464570771869
100,2048,512,16,64,6.558323251246662,16,256,2048,RS,500,10,False,256,512,2048,2,10,4,True,1,1,False,10,0.00022063544592829774,6.558459999999999,True,False,6.558596748753336
101,2048,2,1,64,4.522446083787632,32,512,64,RS,500,10,False,2048,512,512,1,12,2,False,3,3,False,10,0.0005661810664441957,4.522797,True,False,4.523147916212367
102,2048,256,64,32,1.682268061506396,4,256,1,RS,500,10,True,256,256,256,3,1,1,False,1,12,False,10,0.0075523975663361245,1.6869490000000003,True,True,1.6916299384936044
103,512,32,4,2,7.631613510970458,32,512,1,RS,500,10,False,512,4,16,1,3,2,True,4,3,False,10,0.0003783331864904637,7.631848000000001,True,False,7.632082489029544
104,1,512,4,256,0.264727752665783,1,512,1024,RS,500,10,False,8,512,2048,5,5,1,False,2,3,False,10,0.026261661494277163,0.2810046,True,True,0.29728144733421696
105,16,16,8,8,8.92153295224461,128,2,8,RS,500,10,False,512,1024,8,2,6,1,False,2,1,False,10,0.0007341907109194931,8.921988,True,False,8.922443047755392
106,512,1,8,2048,1.5729671403838168,1,64,8,RS,500,10,False,128,2048,1024,1,20,2,True,1,1,False,10,0.01620835775148122,1.583013,True,True,1.5930588596161832
107,32,1,2048,512,2.7256950415127728,4,8,32,RS,500,10,True,2048,1,32,1,6,3,True,2,3,False,10,0.003033193861262422,2.727575,True,True,2.729454958487227
108,256,1024,128,128,0.2389309010046493,4,8,256,RS,500,10,True,32,128,1024,1,3,1,True,1,24,False,10,0.028603486751793045,0.2566592,True,True,0.27438749899535064
109,1024,64,1,4,4.801144457137115,128,64,128,RS,500,10,True,2048,4,1,6,1,1,False,9,1,False,10,0.017229152068514497,4.8118229999999995,True,True,4.822501542862884
110,16,128,128,8,3.323483930290965,2,16,128,RS,500,10,True,1024,32,128,4,3,3,False,2,1,False,10,0.00018243080880153229,3.3235969999999995,True,False,3.323710069709034
111,32,1,512,2,6.360163582520537,8,2,64,RS,500,10,False,1024,1,1024,1,3,1,False,7,9,False,10,0.00015556349186112895,6.36026,True,False,6.360356417479464
112,64,512,128,2,10.449296662345855,32,64,16,RS,500,10,False,1024,1024,16,2,4,6,False,3,1,False,10,0.00019899748742155645,10.44942,True,False,10.449543337654145
113,256,32,8,1,5.693276906368764,2,2,32,RS,500,10,False,16,8,2048,2,2,1,False,5,2,False,10,0.0006245510387469641,5.693664,True,False,5.694051093631236
114,64,256,4,4,6.595907756642099,64,32,32,RS,500,10,True,1024,256,1024,1,2,3,False,3,1,False,10,0.1921848952467388,6.715023,True,True,6.834138243357902
115,2,512,128,32,2.3987666035681463,4,2,32,RS,500,10,True,16,32,256,1,2,26,True,2,1,False,10,0.00029912539176738505,2.398952,True,False,2.3991373964318536
116,512,1024,1,8,7.346265360987469,32,128,1024,RS,500,10,False,32,16,1,4,1,2,True,5,1,False,10,0.0002898361606149864,7.346445,True,False,7.346624639012531
117,64,512,256,16,5.017035285374034,8,2,128,RS,500,10,False,1,64,2048,2,9,1,True,8,1,False,10,0.0003835374818709781,5.017273,True,False,5.017510714625967
118,32,512,128,2,19.414830453274202,32,2,1024,RS,500,10,False,1024,2,1024,1,15,1,False,1,1,False,10,0.07320088797275599,19.4602,True,False,19.5055695467258
119,1024,64,4,8,4.960304669185466,32,2,4,RS,500,10,True,64,512,128,1,3,1,True,1,16,False,10,0.0007314205356702494,4.960758,True,False,4.9612113308145345
120,8,256,32,4,7.834311782175524,1,1,8,RS,500,10,True,2048,256,64,3,1,7,True,3,1,False,10,0.003398248960861979,7.836418,True,True,7.838524217824476
121,256,16,2,32,4.436396171666755,16,4,16,RS,500,10,False,1024,64,64,5,3,1,True,13,1,False,10,0.00402202051213079,4.4388890000000005,True,True,4.441381828333246
122,128,1,64,2,5.068912104463019,64,16,1,RS,500,10,True,128,64,64,2,1,2,False,4,1,False,10,0.0023473817329102056,5.070366999999999,True,False,5.07182189553698
123,1024,32,16,1,1.1647786448357595,4,16,1024,RS,500,10,True,256,32,1024,1,15,1,True,2,5,False,10,0.02301140606308098,1.1790410000000002,True,True,1.193303355164241
124,1024,1,2,8,8.86258732574703,1,32,16,RS,500,10,True,64,64,1,1,2,27,False,1,1,False,10,0.001162762228488751,8.863308,True,False,8.86402867425297
125,64,64,4,64,3.587391017907968,8,2,8,RS,500,10,True,2048,1,256,1,2,2,True,4,10,False,10,0.00011452510641778609,3.587462,True,False,3.5875329820920316
