id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
77,256,512,1024,0.09989166082307789,1,1,32,256,RS,True,True,False,False,True,3,8,30,0.09993171917692208,5.597262039009311e-05,0.09991168999999998,4,25,True,1,8
78,1024,1024,2048,0.10140424764771694,8,1,1,16,RS,True,False,True,False,True,22,1,30,0.10143881901894972,4.8305785252791847e-05,0.10142153333333333,1,20,True,8,8
79,2048,512,64,inf,32,32,64,64,RS,False,False,False,False,True,29,1,1,inf,inf,inf,19,12,False,1,1
80,2048,2048,1,0.10392407025715505,1,64,1,128,RS,False,True,True,False,False,27,8,30,0.10395446307617828,4.2467189949679926e-05,0.10393926666666667,1,10,True,7,8
81,512,512,2048,0.12128977994857292,8,256,64,16,RS,False,True,False,True,False,25,1,30,0.12132608671809374,5.073061753572042e-05,0.12130793333333333,1,3,True,5,8
82,512,128,1024,inf,32,128,128,1,RS,False,False,False,False,True,4,1,1,inf,inf,inf,1,21,False,16,1
83,1,512,2048,0.19126526930488863,1,16,512,256,RS,True,True,True,True,False,15,8,30,0.19140066402844463,0.00018918394634734797,0.19133296666666663,1,25,True,15,1
84,512,128,2048,inf,32,1,1,64,RS,False,True,False,True,True,14,1,1,inf,inf,inf,15,10,False,1,1
85,2048,256,1024,0.14322910840797148,32,1,1,128,RS,False,False,False,False,False,28,1,30,0.1432510249253618,3.062344780646617e-05,0.14324006666666664,1,11,True,8,1
86,512,2048,256,0.10901229195519978,1,256,1,64,RS,False,False,True,True,False,23,1,30,0.10904137471146687,4.063666926421184e-05,0.10902683333333332,9,4,True,1,8
87,1024,1024,1,0.11779698053715225,1,256,16,1,RS,False,False,False,False,False,10,1,30,0.11783181946284775,4.8679632975881913e-05,0.1178144,30,1,True,28,8
88,256,64,2048,0.11131391391577185,1,16,16,64,RS,False,False,True,False,True,25,8,30,0.11133248608422812,2.5950465634872803e-05,0.11132319999999998,10,1,True,26,8
89,1,1,2048,0.16447463305186708,32,128,256,512,RS,False,False,True,False,False,22,1,30,0.16459410028146623,0.00016692882382087922,0.16453436666666665,9,1,True,27,1
90,512,1,256,0.10913571816737834,1,16,256,512,RS,False,True,True,True,True,10,1,30,0.10920228183262175,9.300788497039636e-05,0.10916900000000004,1,9,True,20,8
91,1024,2048,2048,0.20322993698448838,1,64,64,512,RS,True,True,True,True,True,26,8,30,0.20333619634884498,0.00014847377621055423,0.20328306666666668,30,1,True,7,1
92,2048,1,2048,0.09902484336622758,1,64,16,64,RS,True,False,True,False,False,18,8,30,0.09909920330043903,0.00010390143304540605,0.0990620233333333,16,1,True,27,8
93,1,1,256,0.14640871118142265,8,32,128,1,RS,True,True,False,False,False,7,1,30,0.1464574888185773,6.81558752664306e-05,0.14643309999999998,27,17,True,1,1
94,1,1,1,0.2758401458898789,8,1,512,256,RS,False,True,False,True,True,24,8,30,0.27590632077678773,9.24646539074395e-05,0.2758732333333333,4,1,True,4,1
95,2048,128,64,0.2808405410185361,1,16,16,32,RS,False,True,False,True,False,1,1,30,0.2810171256481305,0.0002467376587029665,0.2809288333333333,19,8,True,1,1
96,1,1024,128,0.15031027634691171,1,1,16,1,RS,False,True,True,False,True,1,1,30,0.150343590319755,4.654885128072903e-05,0.15032693333333336,27,26,True,1,1
97,1024,2048,256,0.22796507069742303,1,64,256,128,RS,True,True,False,True,True,19,1,30,0.22811559596924366,0.00021032551491015532,0.22804033333333334,17,22,True,1,1
98,1,256,1,0.19699370692766766,8,128,16,64,RS,False,True,False,True,False,9,8,30,0.1970980264056657,0.00014576321743003592,0.19704586666666668,27,26,True,1,1
99,512,512,512,0.11260502498213536,1,1,32,32,RS,True,True,False,False,False,3,1,30,0.11262710835119795,3.0856585826835756e-05,0.11261606666666665,6,9,True,1,1
100,64,256,1,0.20229915726304293,8,32,256,32,RS,True,False,False,False,True,28,8,30,0.2023285094036238,4.1013073796319995e-05,0.20231383333333336,23,1,True,5,1
101,1,1,1,0.1771134094460985,1,1,1,1,RS,False,False,False,False,False,1,1,30,0.17730512388723496,0.0002678781978603111,0.17720926666666673,1,1,True,1,1
