id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
70,16,10,2,1,32,0.282433,1,22,DLMT,0.28231383999240617,True,False,True,0.00019225711950406234,False,0.2825521600075938,False
71,256,1,512,32,1,inf,3,1,DLMT,inf,False,True,True,inf,False,inf,False
72,2,1,2048,4,16,inf,30,1,DLMT,inf,False,True,False,inf,True,inf,False
73,2048,10,4,2,8,0.45018159999999996,4,1,DLMT,0.45012739843716687,True,False,False,8.74507861599917e-05,False,0.45023580156283305,False
74,2,1,256,2,16,inf,11,1,DLMT,inf,False,True,True,inf,True,inf,False
75,2048,1,512,4,32,inf,1,23,DLMT,inf,False,True,True,inf,True,inf,False
76,256,10,1,16,16,1.027018,1,1,DLMT,1.0268779537499433,True,False,False,0.0002259557478799304,True,1.0271580462500567,False
77,1,10,64,1,32,0.7242065,1,8,DLMT,0.7241220770681883,True,False,False,0.0001362110494783838,True,0.7242909229318116,False
78,512,1,1,1,2,inf,11,1,DLMT,inf,False,True,False,inf,False,inf,False
79,2048,10,256,32,16,1.049347,30,1,DLMT,1.0492538223144705,True,False,True,0.0001503362896974732,False,1.0494401776855296,False
80,2048,1,1024,2,1,inf,2,1,DLMT,inf,False,True,False,inf,True,inf,False
81,1,10,1024,1,1,0.2277641,30,1,DLMT,0.22774405760724312,True,False,False,3.2337130361241745e-05,False,0.22778414239275688,False
82,32,1,1,1,2,inf,1,26,DLMT,inf,False,True,False,inf,True,inf,False
83,512,10,32,32,32,1.0153729999999999,7,1,DLMT,1.015297189667316,True,False,True,0.00012231516668019456,True,1.0154488103326837,False
84,256,1,2048,1,2,inf,1,6,DLMT,inf,False,True,True,inf,True,inf,False
85,1,1,8,2,2,inf,1,7,DLMT,inf,False,True,False,inf,False,inf,False
86,8,1,512,16,16,inf,1,6,DLMT,inf,False,True,False,inf,True,inf,False
87,16,10,512,4,1,0.8073867,1,30,DLMT,0.8072725459194274,True,False,True,0.00018418037354725223,True,0.8075008540805726,False
88,2048,10,1,4,32,0.7890221000000001,1,11,DLMT,0.7888793601275641,True,False,True,0.00023030173685839375,False,0.789164839872436,False
89,32,1,8,1,1,inf,21,1,DLMT,inf,False,True,True,inf,True,inf,False
90,1,1,1,8,1,inf,9,1,DLMT,inf,False,True,True,inf,False,inf,False
91,1024,1,8,16,1,inf,30,1,DLMT,inf,False,True,True,inf,False,inf,False
92,2,1,256,32,32,inf,1,30,DLMT,inf,False,True,True,inf,False,inf,False
93,256,10,64,2,8,0.7504907999999999,1,24,DLMT,0.7504411391381764,True,False,True,8.012465288536575e-05,False,0.7505404608618234,False
94,4,1,1,1,16,inf,1,1,DLMT,inf,False,True,True,inf,False,inf,False
95,1,10,8,16,32,0.20889370000000002,1,21,DLMT,0.2088664402194482,True,False,True,4.398192810689877e-05,True,0.20892095978055183,False
96,2048,10,512,16,2,0.21908219999999998,30,1,DLMT,0.21901134314088502,True,False,False,0.00011432305104396555,True,0.21915305685911493,False
97,16,10,1,32,1,0.4506375,18,1,DLMT,0.45044647212256383,True,False,False,0.0003082113722755846,False,0.4508285278774362,False
98,64,1,2048,4,32,inf,9,1,DLMT,inf,False,True,False,inf,False,inf,False
99,512,1,128,16,32,inf,23,1,DLMT,inf,False,True,True,inf,False,inf,False
100,8,1,1,2,16,inf,30,1,DLMT,inf,False,True,True,inf,True,inf,False
101,2048,10,32,1,4,0.23500609999999997,13,1,DLMT,0.23473319523836705,True,False,True,0.00044031453530402173,False,0.23527900476163288,False
102,2048,10,2048,32,1,1.0944989999999999,1,21,DLMT,1.094426643077548,True,False,True,0.00011674330815939351,False,1.0945713569224518,False
103,8,10,4,16,2,0.2513096,1,1,DLMT,0.2512850758454009,True,False,True,3.956816902512198e-05,False,0.25133412415459916,False
104,512,10,2,16,16,0.2219918,1,30,DLMT,0.2218706679464219,True,False,False,0.00019543889070499767,True,0.22211293205357807,False
105,1,1,2048,32,8,inf,21,1,DLMT,inf,False,True,True,inf,True,inf,False
