id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
29,True,35,0.1245196684895029,8,32,1,128,26,1,30,RS,6,1,512,64,0.1244882172247828,4.7467247569631385e-05,8,0.12450394285714285,1
30,True,35,0.344453723161885,1,128,1,16,18,14,1,RS,2,1,256,512,0.34372999112382924,0.0010922793766865206,32,0.3440918571428571,1
31,True,35,0.13870226759512025,8,128,32,16,27,1,16,RS,27,256,512,128,0.13865110383345122,7.72179740099679e-05,1,0.13867668571428574,1
32,True,35,0.14190421255218444,8,16,32,1,1,18,12,RS,6,64,64,128,0.14168435887638703,0.0003318101497998576,1,0.14179428571428573,8
33,True,35,0.11781007265584585,1,1,32,128,6,16,1,RS,12,1024,2048,1,0.11777147020129698,5.8260050372342346e-05,8,0.11779077142857142,8
34,True,35,0.1303334975825305,8,32,16,32,1,28,9,RS,17,128,128,1024,0.13030661670318378,4.056947681422093e-05,1,0.13032005714285713,1
35,True,35,0.1351766343545774,8,128,32,16,14,1,23,RS,22,128,128,512,0.13507519421685119,0.00015309667747231235,8,0.1351259142857143,1
36,True,35,0.1328166123781936,1,1,128,256,16,1,10,RS,4,256,1,128,0.13258127333609215,0.00035518115642239683,1,0.13269894285714287,32
37,True,35,0.2949259452784749,1,128,16,32,30,29,1,RS,22,512,512,1,0.2944959975786678,0.0006488907231670449,32,0.29471097142857133,1
38,True,35,0.11993435530133885,8,16,32,32,1,19,6,RS,22,512,512,2048,0.1199080446986611,3.9708797154139065e-05,8,0.11992119999999998,1
39,True,35,0.2377060089470222,32,64,256,32,4,1,28,RS,16,64,2048,1,0.23729941962440637,0.0006136375184762022,1,0.2375027142857143,1
40,True,35,0.1345625712905211,1,256,128,16,1,7,3,RS,21,256,2048,1024,0.1345418858523361,3.121912025326381e-05,1,0.1345522285714286,8
41,True,35,0.14732897330612454,8,64,1,64,10,1,6,RS,11,2048,512,1,0.14730285526530407,3.941817668362208e-05,1,0.1473159142857143,1
42,True,35,0.2025930040912408,8,64,32,32,29,1,28,RS,6,256,1,256,0.20245025305161635,0.00021544440260133342,1,0.20252162857142858,1
43,True,35,0.1274193042870752,1,256,256,512,1,25,18,RS,10,1024,1,2048,0.1273322385700677,0.00013140234520940067,8,0.12737577142857145,1
44,True,35,0.29481755168469703,1,32,256,128,1,4,30,RS,19,256,1024,2048,0.2943925626010173,0.0006414070222279042,1,0.2946050571428572,32
45,True,35,0.20282974360699108,1,1,32,128,11,17,1,RS,28,1,1,1024,0.2027183135358661,0.00016817380222585644,1,0.2027740285714286,32
