id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
56,8,8,1,False,1,16,1,128,2048,1,0.11305714944334846,16,256,128,DLMT,1,False,False,False,2048,2048,False,13,1,2,256,1,35,1024,23,16,0.114784,8,True,0.005212435405560711,True,0.11651085055665153
57,32,1,2048,False,1,1,32,256,512,1,0.13199198709154694,512,256,1,DLMT,8,True,False,True,1024,1,False,1,22,26,1024,1,35,256,3,22,0.1325434285714286,8,True,0.0016645059891016029,True,0.13309487005131024
58,1,1,64,False,32,32,512,1,1024,27,0.22384194829509974,256,32,64,DLMT,1,True,True,True,512,1024,False,22,1,13,256,32,35,1024,30,1,0.22388828571428573,1,False,0.00013986780931162348,True,0.22393462313347173
59,1,1,512,False,8,1,1,64,128,1,0.18681399741260826,1,512,32,DLMT,8,True,False,True,2048,2048,False,30,1,13,64,1,35,512,2,5,0.1875466,1,True,0.00221133418292474,True,0.18827920258739175
60,1,1,2048,False,1,128,128,1,1,30,0.04958297889800424,16,16,512,DLMT,1,False,False,True,64,512,True,1,30,30,1024,1,35,1,7,1,0.05530327714285716,8,True,0.01726651156175008,True,0.06102357538771008
61,1,8,1024,False,8,16,512,512,2048,8,0.23476139503325855,512,256,128,DLMT,8,True,True,False,512,128,True,13,1,10,256,1,35,1,9,1,0.23589285714285713,1,True,0.0034152770993443734,True,0.2370243192524557
62,32,1,1024,False,1,32,64,16,1,1,inf,1,128,1,DLMT,1,False,False,False,256,1024,True,26,7,1,256,1,1,512,30,29,inf,32,False,inf,False,inf
63,32,1,1,False,1,512,32,1,1,1,0.15713485127118038,1,1,128,DLMT,8,False,True,False,128,256,False,7,1,12,512,8,35,1,13,4,0.15844822857142854,1,True,0.003964381465613262,True,0.1597616058716767
64,1,1,2048,False,32,1,32,1,2048,3,0.281077580436132,128,512,64,DLMT,32,True,True,False,1,1024,False,12,1,16,1,1,35,1,30,1,0.2811482571428571,1,False,0.00021333506079232567,True,0.28121893384958224
65,8,1,128,False,1,128,16,256,512,28,0.10108172226687526,1,32,512,DLMT,1,True,True,False,64,2048,True,1,2,19,512,32,35,256,1,28,0.10268188571428571,1,False,0.004830034988169214,True,0.10428204916169617
66,32,1,1,False,1,256,256,512,1024,18,0.15611152793896158,16,1,32,DLMT,1,True,True,False,256,256,True,4,1,1,1,32,35,512,1,8,0.15770114285714287,1,False,0.0047981946375268945,True,0.15929075777532417
67,1,8,1,False,8,64,1,64,64,1,0.1979975933794555,128,512,512,DLMT,8,False,True,True,128,1,True,1,29,13,64,1,35,128,30,19,0.19978765714285712,8,False,0.005403242163964979,True,0.20157772090625875
68,8,1,512,False,1,1,512,512,512,15,0.13074950925836573,512,256,32,DLMT,1,False,True,True,2048,512,True,1,30,27,64,1,35,1024,13,1,0.13128508571428568,32,False,0.0016166179930676911,True,0.13182066217020563
69,8,8,1024,False,1,1,128,1,128,25,0.1857458410349846,1,128,512,DLMT,32,True,True,False,512,1024,False,1,16,29,64,1,35,128,9,1,0.1869421428571429,1,True,0.0036109934061961196,True,0.1881384446793012
70,32,1,1024,False,1,32,128,16,512,16,0.21508317011060818,32,256,64,DLMT,1,True,True,True,1,2048,False,8,14,1,128,32,35,1,1,13,0.21511388571428572,1,False,9.271392912104087e-05,True,0.21514460131796326
71,1,1,256,False,1,32,16,512,2048,24,0.4082978395411519,1,256,16,DLMT,8,True,False,False,256,2048,True,16,19,1,2048,8,35,1,22,1,0.41189631428571427,1,True,0.010861864735384804,True,0.41549478903027665
72,8,8,1,False,1,128,1,512,512,1,0.12728050191971632,32,32,16,DLMT,1,False,False,True,64,512,False,12,1,10,256,1,35,512,2,18,0.13056957142857142,32,True,0.009927936319255058,True,0.13385864093742653
