id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
74,512,64,2048,0.1548769396582195,1,False,16,64,RS,False,True,True,False,True,19,1,128,35,1,20,1,2,3.1056709157176404e-05,True,0.1548872285714286,0.15489751748463768
75,512,256,512,0.30948497814299836,1,False,256,16,RS,True,False,True,True,True,20,1,32,35,1,10,1,26,5.991779402495214e-05,True,0.3095048285714286,0.3095246789998588
76,256,1024,64,0.18887064595142805,1,False,64,64,RS,True,True,False,True,False,6,1,32,35,1,28,18,1,7.109703630552263e-05,True,0.18889419999999996,0.18891775404857186
77,1024,256,2048,0.2297037107215104,1,False,1,32,RS,False,True,True,True,True,19,8,128,35,1,2,14,1,4.451153484989785e-05,True,0.22971845714285713,0.22973320356420385
78,1,64,1024,0.18257381702478045,1,False,1,256,RS,False,True,False,False,False,8,1,32,35,1,10,1,28,0.00016924129375009075,True,0.18262988571428573,0.182685954403791
79,256,1024,1024,0.30550772998523457,1,False,128,16,RS,True,False,True,True,True,6,8,1,35,1,5,20,1,0.0001023216457240324,True,0.3055416285714286,0.3055755271576226
80,2048,512,512,0.253182818433221,1,False,32,256,RS,True,True,False,False,False,26,1,32,35,32,6,1,20,0.0002104606298923731,True,0.2532525428571429,0.2533222672810648
81,1024,128,1024,0.17624389600587373,1,False,1,64,RS,True,False,False,True,True,11,8,1,35,1,25,1,2,4.80918678687176e-05,True,0.17625982857142858,0.17627576113698343
82,1,512,512,inf,32,False,1,256,RS,False,True,False,False,True,2,1,16,1,1,1,2,7,inf,False,inf,inf
83,1024,256,2048,0.10598735309791463,1,False,1,256,RS,False,True,True,False,False,18,8,16,35,8,26,1,25,4.30899959979349e-05,True,0.10600162857142856,0.10601590404494249
84,2048,1024,64,inf,32,False,512,32,RS,True,True,True,False,True,26,1,32,1,1,17,1,20,inf,False,inf,inf
