id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
98,True,True,16,32,2,1,5.82632101104772,False,DLMT,False,1,22,1024,False,10,256,13,1,2,2,0.0011600431026473847,5.82704,True,4,1,8,5.82775898895228,4
99,False,True,128,2048,4,16,4.750021073251796,False,DLMT,True,22,1,4,False,10,2048,10,1,16,4,9.184770002567725e-05,4.750078,True,1,8,1,4.7501349267482045,64
100,False,False,2,2048,1,4,6.015121872470822,False,DLMT,False,8,1,512,True,10,16,1,13,2,16,0.00026480936539333204,6.015286000000001,True,1,256,4,6.015450127529179,2048
101,True,True,8,8,8,16,6.124736920624182,False,DLMT,False,30,1,512,False,10,64,2,1,4,1,0.0020395119514236277,6.126001,True,1,2,1,6.127265079375817,32
102,True,True,16,2048,16,8,4.371633953148638,False,DLMT,False,1,1,512,False,10,256,1,30,2,32,0.0005099215625957473,4.37195,True,512,4,128,4.372266046851362,4
103,True,False,8,16,4,2,5.825734713039403,False,DLMT,False,28,1,1,True,10,128,1,3,2,16,0.0011863389060467182,5.8264700000000005,True,1024,8,1,5.827205286960598,64
104,False,True,16,4,32,4,6.701592719959251,False,DLMT,True,1,9,32,True,10,256,16,1,1,8,0.0003328197710473502,6.701798999999999,True,32,16,1,6.702005280040748,1
105,True,True,1,32,1,2,6.22249336302053,False,DLMT,True,1,30,1024,False,10,512,1,13,4,1,0.0006125202037483864,6.222873,True,2,256,4,6.22325263697947,512
106,False,True,2,128,2,16,7.1467873327061096,False,DLMT,False,1,18,256,True,10,2048,24,1,4,8,0.0002511593119913684,7.1469429999999985,True,4,32,4,7.147098667293887,512
107,True,True,32,2048,2,16,8.494698490868123,False,DLMT,True,21,1,1024,True,10,2048,8,1,1,16,0.03212918480136108,8.514612000000001,True,2,64,2048,8.53452550913188,64
108,False,False,1,512,1,2,4.471071414809105,False,DLMT,True,1,20,64,True,10,2048,28,1,32,4,0.0002300521679966744,4.471214,True,2,64,256,4.471356585190895,256
109,True,False,128,1024,8,16,4.677592704699402,False,DLMT,False,12,1,1024,True,10,1,1,22,32,1,0.015941230222288452,4.687473,True,256,2,256,4.697353295300598,4
110,True,True,1024,1024,2,32,9.050678499919174,False,DLMT,False,8,1,2048,False,10,2048,1,6,1,16,0.004219943601518943,9.053294000000001,True,2,32,512,9.055909500080828,64
111,False,False,256,128,4,32,4.395644618016235,False,DLMT,True,1,13,1,True,10,2048,3,1,4,4,0.00015227934856698358,4.395739,True,2048,4,128,4.395833381983764,512
112,False,True,2048,128,1,32,5.9035496926309134,False,DLMT,False,23,1,1024,False,10,1,8,1,2,16,0.00022315017364986044,5.903688,True,2,1,32,5.903826307369086,16
113,False,False,32,256,2,32,6.152610501721743,False,DLMT,False,1,9,8,False,10,2048,1,9,2,4,0.00023152537657900035,6.152754,True,1,2048,32,6.152897498278256,1
114,True,True,512,1,1,8,6.365370181020688,False,DLMT,False,7,1,128,False,10,2048,1,2,16,8,0.011484149772621303,6.372488,True,128,16,1024,6.379605818979312,128
115,True,False,8,8,4,32,9.28565405047556,False,DLMT,False,17,1,64,False,10,512,1,4,32,2,0.0002629087294100895,9.285816999999998,True,2,64,1,9.285979949524435,256
116,False,True,4,1,16,4,5.834286775011444,False,DLMT,True,2,1,2048,True,10,2048,18,1,16,1,0.00019074852555116018,5.834405,True,8,2048,1,5.834523224988557,1
117,False,False,2,2048,8,8,5.883600961187289,False,DLMT,True,1,27,2048,False,10,8,1,24,1,8,0.00013559129765595068,5.883685,True,128,32,1024,5.88376903881271,64
118,False,False,4,256,32,1,4.377916639765679,False,DLMT,True,1,1,1024,False,10,256,8,1,8,4,4.737087712937839e-05,4.377946,True,128,8,4,4.377975360234321,512
119,True,False,1,1024,32,1,4.371227641724714,False,DLMT,True,15,1,1,True,10,512,1,30,2,1,0.0009202369260142814,4.371798,True,8,8,512,4.372368358275287,32
120,True,False,32,128,2,32,6.874455867164261,False,DLMT,True,1,7,1024,False,10,256,18,1,4,8,0.002339697416333971,6.8759060000000005,True,4,1,32,6.87735613283574,128
121,False,True,128,2048,2,4,4.405847818589686,False,DLMT,True,1,1,128,False,10,1,30,1,8,8,0.00015679604586836074,4.405945000000001,True,8,2,2048,4.4060421814103155,64
122,False,True,256,128,32,1,6.689897685093053,False,DLMT,False,9,1,8,True,10,2048,1,27,32,4,7.472616676896812e-05,6.689944,True,4,1,8,6.689990314906947,2048
123,True,False,512,64,2,8,6.078862666822795,False,DLMT,False,5,1,512,False,10,1024,21,1,1,4,0.0022109457252495967,6.080233,True,64,256,1,6.081603333177204,512
124,False,True,2,2048,16,4,6.860416024306325,False,DLMT,False,13,1,256,False,10,2048,1,11,4,2,0.0003000599940012752,6.860602,True,64,1,16,6.860787975693675,2048
