id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
44,8,1,256,8,64,16,64,128,18,0.08690270159812138,16,64,1,RS,1,False,False,True,64,512,False,1,19,22,256,8,35,64,26,1,0.08690942857142858,8,False,2.030512351147758e-05,True,0.08691615554473578
45,8,1,512,8,16,32,128,1,23,0.11001139130174464,512,32,1,RS,1,False,True,False,2048,1024,True,1,16,23,256,1,35,1024,28,1,0.11204157142857143,1,True,0.006128024646937165,True,0.11407175155539823
46,1,8,64,1,128,16,1,128,27,0.12694688750103109,1,1,16,RS,32,True,True,True,64,1,False,20,1,12,256,1,35,1024,23,1,0.12784397142857143,1,True,0.002707815107485465,True,0.12874105535611177
47,1,1,128,8,32,16,128,512,23,0.13958034112822085,1,64,16,RS,8,False,False,True,2048,64,False,13,1,11,512,1,35,128,1,29,0.1396368857142857,1,False,0.00017067777015325992,True,0.13969343030035056
48,8,1,1,1,1,16,64,64,1,0.09523545747276592,16,16,128,RS,1,False,True,True,128,2048,True,1,9,13,1,8,35,1,29,1,0.09714480000000002,8,False,0.005763280761015005,True,0.09905414252723412
49,1,1,1,1,64,16,32,1,23,0.12499568764059588,64,64,64,RS,1,True,True,False,1,64,True,4,23,1,256,32,35,256,28,1,0.12643574285714287,1,True,0.004346754134444012,True,0.12787579807368987
50,8,1,1024,1,128,32,16,1,2,0.12656731179552771,1,1,256,RS,1,True,False,False,256,512,False,1,24,11,256,1,35,2048,30,1,0.12924002857142855,1,True,0.008067498080873522,True,0.13191274534732939
51,1,32,512,1,256,1,1,512,29,0.2181802220230433,1,1,16,RS,32,True,False,True,1024,256,False,1,17,30,1,1,35,64,1,22,0.21992537142857144,1,True,0.005267669813308425,True,0.22167052083409958
52,1,8,1,8,128,64,512,1024,29,0.18233867762284678,128,128,64,RS,1,True,True,True,256,64,True,25,14,1,1024,8,35,512,1,2,0.1847886,1,False,0.007395001316333312,True,0.18723852237715322
53,1,1,1,1,32,1,128,1,12,0.22401569498433083,64,512,256,RS,1,False,True,True,64,256,False,28,19,1,128,8,35,1,1,27,0.2256062,1,True,0.0048008813643211105,True,0.2271967050156692
