id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
91,10,0.1447050130159649,0.14468198698403512,7,1,0.1446935,False,RS,32,1,True,1,16,False,True,1.857552152699597e-05,8,False,4
92,10,0.12838720512466562,0.12819279487533436,17,1,0.12829,False,RS,2,32,True,1,16,False,True,0.0001568343074712931,32,True,8
93,10,0.12928359349608404,0.12922500650391594,23,1,0.1292543,False,RS,8,1,True,16,1024,False,True,4.726319921460887e-05,128,True,8
94,10,0.21658075532382243,0.2162406446761776,6,1,0.2164107,False,RS,8,16,True,4,8,False,True,0.00027437348632840096,1024,False,8
95,10,0.09211790237477137,0.08309501762522863,28,1,0.08760646,False,RS,4,1,True,1024,4,True,False,0.007278926321814227,2048,True,4
96,10,0.16962370272040897,0.16952649727959104,1,1,0.1695751,False,RS,8,64,True,8,8,False,True,7.841740878146952e-05,64,True,16
97,10,0.12185770206201393,0.08741825793798605,1,17,0.10463797999999999,False,RS,2,4,True,2,1,True,False,0.0277829301051131,1,False,8
98,10,0.09586017346525663,0.07058588653474335,1,21,0.08322302999999999,False,RS,16,512,True,1,512,True,True,0.020389229997969514,2,True,1
99,10,0.1593705741173273,0.1593498258826727,1,22,0.1593602,False,RS,4,2048,True,8,2,False,True,1.673798076232663e-05,512,False,2
100,10,0.11872884177351845,0.11867095822648155,3,1,0.1186999,False,RS,8,512,True,2048,1,False,True,4.669571714836366e-05,1,True,1
101,10,0.08704859733964469,0.0774514826603553,28,1,0.08225004,False,RS,2,1024,True,64,32,True,False,0.00774216811935778,512,False,1
102,10,0.11265164514752506,0.11262655485247498,27,1,0.11263910000000002,False,RS,1,256,True,4,4,False,False,2.024080037942969e-05,4,True,16
103,10,0.18035706515988567,0.18031853484011431,2,1,0.1803378,False,RS,8,512,True,4,256,False,True,3.10831143870786e-05,32,True,2
104,10,0.17862308927283707,0.17859691072716297,19,1,0.17861000000000002,False,RS,4,8,True,4,1,False,False,2.1118712081940996e-05,128,True,1
105,10,0.09248151477370992,0.08200008522629004,13,1,0.08724079999999998,False,RS,8,64,True,8,32,True,True,0.00845556111384691,1,True,8
106,10,0.2096391982684122,0.20950580173158778,8,1,0.2095725,False,RS,1,256,True,4,256,False,False,0.00010761342853008955,512,False,16
