id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
41,64,2048,128,0.21159926437789903,8,False,64,16,DLMT,False,False,False,True,False,4,1,32,35,1,1,30,29,0.002127046281219329,True,0.21230394285714285,0.21300862133638668
42,1,64,1,0.1877441838444873,8,False,16,512,DLMT,True,False,False,True,False,30,8,32,35,1,30,1,26,0.00017115252536488153,True,0.1878008857142857,0.18785758758408408
43,128,2048,2048,0.22489854605419665,1,False,32,1,DLMT,True,True,True,True,True,27,8,512,35,1,2,30,1,3.4573317539894135e-05,True,0.22491000000000005,0.22492145394580346
44,128,512,512,0.11052044963434321,8,False,512,1,DLMT,False,True,True,False,True,4,8,512,35,1,1,17,9,6.504899252541459e-05,True,0.11054199999999999,0.11056355036565677
45,512,2048,1,0.11807542248929835,1,False,512,512,DLMT,True,False,False,False,False,11,8,16,35,8,16,14,1,4.8744984043364344e-05,True,0.11809157142857143,0.11810772036784452
46,128,64,256,inf,1,False,64,128,DLMT,False,False,False,True,False,30,32,64,1,1,1,13,20,inf,False,inf,inf
47,512,1024,1,0.24279129443267888,1,False,1,1,DLMT,False,False,False,False,False,21,1,512,35,1,19,4,1,2.8778449987333638e-05,True,0.24280082857142854,0.2428103627101782
48,2048,1,1,0.13716748941667392,8,False,128,32,DLMT,True,True,False,False,True,30,1,512,35,1,1,14,14,0.00029131367482982664,True,0.137264,0.13736051058332607
49,512,2048,256,0.15480862179586755,1,False,128,512,DLMT,True,True,False,True,True,27,1,64,35,1,29,1,14,6.332194383804567e-05,True,0.15482959999999998,0.15485057820413242
50,1,1,1,0.17826529292032076,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,1,1,1,1,0.00035865795654901894,True,0.17838411428571427,0.17850293565110778
51,256,256,64,0.10711658522752779,1,False,1,128,DLMT,False,True,True,False,True,27,8,1,35,8,1,23,17,3.678360326813703e-05,True,0.10712877142857144,0.10714095762961509
52,256,2048,64,0.10422745625951949,1,False,64,32,DLMT,False,True,True,True,True,27,1,1,35,8,1,23,17,0.00027131941564532855,True,0.10431734285714286,0.10440722945476624
53,256,1,64,0.10141086863251149,1,False,1,32,DLMT,False,False,True,True,False,27,8,1,35,8,1,23,17,0.0002882717057335509,True,0.10150637142857143,0.10160187422463136
54,256,1,64,0.09327581392646472,8,False,64,256,DLMT,True,True,True,False,False,27,1,1,35,8,1,23,17,0.00035022909423544353,True,0.09339184285714286,0.093507871787821
55,256,256,64,0.1020818901821634,8,False,64,32,DLMT,True,False,True,True,True,27,1,1,35,8,1,23,17,4.086513408363509e-05,True,0.10209542857142856,0.10210896696069371
56,256,128,64,0.10166155447510361,1,False,1,256,DLMT,False,True,True,False,False,27,1,1,35,8,1,23,17,3.937744096742206e-05,True,0.1016746,0.1016876455248964
