id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
70,1,128,256,0.11270324817824302,1,32,128,128,RS,False,False,True,False,True,15,8,35,0.11272520896461412,3.3143916239235894e-05,0.11271422857142857,1,25,True,27,8
71,128,1024,128,0.17458791844426672,1,32,16,16,RS,False,True,True,True,False,9,8,35,0.17470928155573326,0.00018316506217071072,0.1746486,15,13,True,1,1
72,1,256,1024,0.20481132189072715,8,512,64,64,RS,True,False,False,True,False,4,8,35,0.20486770668070148,8.509771574190342e-05,0.2048395142857143,28,1,True,11,1
73,1,1024,256,0.15286481843075705,8,64,16,32,RS,True,False,True,False,False,5,8,35,0.15296712442638583,0.0001544034577174428,0.15291597142857144,30,27,True,1,1
74,2048,1,512,0.1670458207693509,8,32,64,512,RS,True,True,True,False,False,3,8,35,0.1670718935163634,3.9349817830139756e-05,0.16705885714285715,5,1,True,26,1
75,512,512,1,0.13562164120857173,1,256,1,128,RS,True,True,True,False,True,9,8,35,0.1356621873628568,6.119354374375324e-05,0.13564191428571426,14,21,True,1,1
76,64,256,2048,0.16695226446827205,8,256,128,32,RS,False,True,False,False,True,3,8,35,0.16697527838887077,3.47333398618547e-05,0.1669637714285714,9,2,True,1,1
77,1,512,256,0.23814381616872982,1,32,64,32,RS,False,False,True,False,True,2,1,35,0.23816081240269876,2.565125608572474e-05,0.2381523142857143,8,1,True,29,1
78,64,1024,1,0.19961175550817817,1,128,1,32,RS,False,True,False,False,True,28,1,35,0.19967458734896465,9.482780957813869e-05,0.1996431714285714,1,13,True,7,1
79,256,1,1024,0.11771452936611997,8,64,16,128,RS,False,True,False,False,False,3,1,35,0.11778775634816575,0.00011051648690376809,0.11775114285714286,15,18,True,1,8
80,2048,512,128,0.12060568759201544,8,32,32,16,RS,False,True,False,True,True,22,1,35,0.12063745526512747,4.7944781163504406e-05,0.12062157142857145,1,2,True,6,8
81,64,1024,2048,0.09007416692032721,1,512,128,1,RS,True,False,True,False,False,5,8,35,0.0901041187939585,4.520431891954098e-05,0.09008914285714285,2,8,True,1,1
82,2048,1,1024,0.44713653369087164,32,1,16,64,RS,True,True,False,True,False,7,1,35,0.44771580916627124,0.0008742609445604212,0.44742617142857144,14,30,True,1,1
83,128,128,64,0.09129952994665788,1,16,32,16,RS,False,False,True,False,False,20,8,35,0.09132363576762784,3.6381270579510935e-05,0.09131158285714286,1,28,True,16,8
84,64,256,2048,0.12190005000612837,1,512,256,32,RS,False,False,False,False,False,20,1,35,0.12232549285101448,0.000642091853051495,0.12211277142857142,12,26,True,1,8
85,64,256,2048,0.23552948494884762,1,64,16,16,RS,True,False,True,True,True,19,1,35,0.2356876007654381,0.0002386334119651408,0.23560854285714286,9,1,True,22,32
86,128,256,128,inf,1,64,16,1,RS,True,False,True,True,False,10,32,1,inf,inf,inf,11,12,False,1,1
87,256,128,1024,0.27677540516065835,1,512,64,256,RS,True,False,True,False,True,23,8,35,0.2769599662679132,0.0002785454845061668,0.27686768571428577,30,30,True,1,1
88,256,128,256,0.2376910661477377,1,32,32,1,RS,False,True,False,False,True,29,32,35,0.23771144813797654,3.0761146975776235e-05,0.23770125714285711,26,1,True,17,1
89,2048,1,1024,0.09211586647128411,8,512,256,64,RS,False,True,True,False,True,27,1,35,0.09215308781443018,5.617563318081291e-05,0.09213447714285715,1,7,True,4,8
90,1024,2048,512,0.14014478506721284,1,1,512,64,RS,False,True,False,False,False,22,8,35,0.14028567207564424,0.00021263114752537735,0.14021522857142854,5,20,True,1,1
91,2048,1024,256,0.13815378427378847,1,64,16,256,RS,False,False,False,True,True,14,1,35,0.13819198715478295,5.765700127407372e-05,0.1381728857142857,20,23,True,1,8
92,128,2048,256,0.18971010469695715,1,32,16,1,RS,False,False,False,True,True,14,1,35,0.18976583816018572,8.411471273183452e-05,0.18973797142857143,1,9,True,18,1
93,2048,512,256,0.2377300497574845,8,256,32,16,RS,False,False,True,False,True,1,1,35,0.23779943595680123,0.00010471985563046618,0.23776474285714286,20,20,True,1,1
94,1,512,512,0.12015712928729416,1,32,1,1,RS,False,True,False,False,False,11,1,35,0.12036989928413444,0.00032111923654871895,0.1202635142857143,23,1,True,19,8
95,2048,1,1,inf,1,256,512,128,RS,False,False,True,True,False,22,32,1,inf,inf,inf,4,12,False,1,1
96,2048,1,256,0.17492663329429256,32,1,1,1,RS,False,False,True,True,False,2,1,35,0.17495588099142176,4.414155337880456e-05,0.17494125714285716,7,6,True,1,1
97,1024,2048,1,0.142883874968133,8,32,512,512,RS,False,False,False,False,True,16,8,35,0.14293686788900986,7.997859917834566e-05,0.14291037142857144,1,6,True,22,1
98,256,128,2048,0.20930018509514522,8,32,1,16,RS,True,False,False,True,False,5,1,35,0.20933987204771184,5.989680922304443e-05,0.20932002857142853,29,2,True,1,1
99,2048,1,512,0.184505832451419,1,64,512,16,RS,True,True,False,True,True,10,1,35,0.18473508183429532,0.00034599044931964156,0.18462045714285716,1,17,True,29,32
100,64,1024,512,0.23761490525189566,1,16,1,64,RS,True,False,True,True,True,6,1,35,0.23770966617667577,0.00014301619717032725,0.23766228571428571,11,29,True,1,1
101,128,128,256,0.09557805834876391,1,1,16,128,RS,True,False,True,True,False,15,1,35,0.0955983473655218,3.0620828445583884e-05,0.09558820285714285,3,1,True,19,8
102,1024,1,64,0.16732469550936968,1,32,256,1,RS,True,True,False,False,False,10,1,35,0.16739827591920176,0.00011104989134324878,0.16736148571428572,17,1,True,16,1
103,1,1024,256,0.08846663893911834,1,16,128,1,RS,False,False,True,False,True,3,8,35,0.08849160677516742,3.768225111348189e-05,0.08847912285714288,4,1,True,9,8
104,1024,1,1024,0.19962935812568805,8,64,16,512,RS,True,True,True,False,True,7,1,35,0.19979184187431193,0.0002452256337102034,0.1997106,24,1,True,22,1
105,256,512,1024,0.1406651645895286,8,32,128,128,RS,True,True,False,True,False,15,1,35,0.14070574969618566,6.125233190063592e-05,0.14068545714285713,1,13,True,17,1
106,1,128,64,0.09320842916524115,8,32,128,32,RS,False,True,True,False,False,5,1,35,0.09324330226333029,5.263158716347837e-05,0.09322586571428572,29,1,True,4,8
107,2048,512,512,0.12786426469029918,1,128,64,64,RS,False,False,False,False,False,19,1,35,0.12792442102398657,9.078984929326526e-05,0.12789434285714288,3,5,True,1,1
108,1,1,256,0.08865158440279053,1,32,256,128,RS,True,False,True,True,False,12,8,35,0.08870499845435234,8.06141829826442e-05,0.08867829142857143,23,27,True,1,8
109,128,1024,512,0.1426408500417869,8,512,64,32,RS,False,True,True,True,True,26,8,35,0.1426839499582131,6.504776267152644e-05,0.1426624,1,14,True,15,1
110,512,64,1,0.22675019108042266,32,256,32,256,RS,False,True,False,False,False,19,1,35,0.22677569463386305,3.849077281423203e-05,0.22676294285714285,7,1,True,16,1
111,2048,512,256,0.16741074692847047,8,16,512,32,RS,True,True,True,False,False,17,1,35,0.1675895959286724,0.0002699245911323388,0.16750017142857143,7,29,True,1,1
112,64,1024,2048,0.3521776592935132,1,128,128,16,RS,True,False,False,True,True,27,1,35,0.3522077692779153,4.544294471631274e-05,0.35219271428571425,1,5,True,20,1
113,128,1,512,0.1735304774338886,1,256,32,32,RS,False,False,True,False,False,30,32,35,0.17355340828039717,3.4607961806615616e-05,0.1735419428571429,18,1,True,2,1
114,1,2048,2048,inf,32,64,256,32,RS,True,False,True,True,True,11,1,1,inf,inf,inf,27,1,False,21,1
115,256,1,128,inf,1,16,16,256,RS,False,True,True,True,True,30,32,1,inf,inf,inf,1,5,False,15,1
116,512,1024,512,0.13060277721745103,8,512,64,32,RS,True,False,False,True,False,8,1,35,0.1306379656396918,5.310748438741131e-05,0.1306203714285714,1,15,True,20,1
117,1,128,1024,inf,1,512,16,64,RS,False,False,True,True,True,9,32,1,inf,inf,inf,1,24,False,4,1
118,512,512,2048,0.20147781943695947,1,256,16,512,RS,True,False,True,True,True,21,8,35,0.2015513234201834,0.00011093454587903518,0.20151457142857143,19,1,True,28,1
119,2048,1024,2048,0.25833979676148217,1,16,512,512,RS,False,True,False,True,True,25,8,35,0.25837523180994654,5.3479700516616056e-05,0.25835751428571435,17,21,True,1,1
120,256,1024,1024,0.09557568128739771,8,32,32,16,RS,True,True,True,True,False,5,1,35,0.09560374728403084,4.235809346078599e-05,0.09558971428571428,1,4,True,17,8
121,1024,1024,512,inf,1,128,16,32,RS,False,False,False,True,True,27,32,1,inf,inf,inf,19,7,False,1,1
122,2048,512,128,0.25953301636960546,1,1,512,32,RS,False,True,False,False,False,3,1,35,0.2597552693446803,0.0003354312484682656,0.2596441428571429,1,27,True,9,32
123,2048,512,2048,0.2525027793862451,1,256,16,64,RS,True,True,False,True,False,16,1,35,0.2525561920423264,8.061207687918743e-05,0.25252948571428574,20,5,True,1,1
124,2048,128,512,0.10893437759210345,8,16,1,128,RS,False,True,False,True,True,8,1,35,0.10905739383646798,0.00018566002284184032,0.10899588571428571,16,1,True,18,8
125,1,64,1024,0.21945972006802328,1,32,16,64,RS,True,True,True,True,True,17,1,35,0.21960987993197678,0.00022662603557402691,0.21953480000000003,28,1,True,7,32
126,512,512,1024,0.1543333153379942,1,256,128,512,RS,False,True,False,True,False,5,8,35,0.15438148466200577,7.269867359764628e-05,0.15435739999999998,7,20,True,1,1
127,1024,128,1,0.10163680723395416,1,64,32,256,RS,False,True,True,False,False,11,8,35,0.10166513562318868,4.275410470805999e-05,0.10165097142857142,2,9,True,1,8
128,512,256,512,0.10329870753041863,1,1,1,64,RS,True,False,False,True,True,26,1,35,0.10332632104100993,4.1675187156026025e-05,0.10331251428571428,25,26,True,1,8
129,512,1024,128,0.11734099682966508,1,128,1,1,RS,False,True,True,False,True,27,1,35,0.11737797459890635,5.58080237081035e-05,0.11735948571428571,1,14,True,16,1
130,1024,1024,512,0.14723891919234794,8,64,256,128,RS,False,False,True,True,True,25,1,35,0.1472838808076521,6.785749774343203e-05,0.14726140000000001,1,18,True,18,1
131,512,64,1,0.16496385119710463,1,128,1,256,RS,True,False,True,False,False,27,32,35,0.16498009166003827,2.4510622436912e-05,0.16497197142857145,7,1,True,8,1
132,256,1,1,0.18301566960814153,1,64,512,1,RS,True,True,True,True,False,28,1,35,0.1830538732490013,5.765814808694726e-05,0.1830347714285714,17,13,True,1,1
133,512,2048,128,0.201240530277358,8,16,64,1,RS,True,False,False,True,True,10,8,35,0.20129541257978484,8.283011381799435e-05,0.20126797142857142,3,21,True,1,1
134,128,128,512,0.1313588060580326,1,128,128,1,RS,True,True,False,False,True,16,32,35,0.13158125108482457,0.00033572109901900776,0.1314700285714286,12,4,True,1,1
135,1,256,512,0.34819169949667245,1,256,64,16,RS,True,False,False,False,True,15,32,35,0.3482360147890418,6.688204664381247e-05,0.34821385714285713,2,1,True,21,1
136,128,512,1,0.089365200539864,8,256,16,64,RS,False,True,True,False,False,3,1,35,0.08938913660299312,3.612506665483568e-05,0.08937716857142856,25,25,True,1,8
137,2048,64,64,0.09242101735676392,1,1,1,512,RS,False,True,True,False,True,30,8,35,0.09248718264323608,9.985875167312238e-05,0.0924541,7,1,True,18,8
138,2048,512,256,0.18400008987796485,32,1,32,256,RS,True,False,True,True,False,3,1,35,0.1841857958363209,0.0002802733301472631,0.18409294285714287,1,28,True,7,1
139,1,2048,128,0.14030152101619003,1,1,128,256,RS,False,False,False,True,True,28,8,35,0.14038956469809571,0.00013287832089270646,0.14034554285714287,7,11,True,1,1
140,512,128,128,0.1151871574447494,8,64,128,1,RS,True,True,False,False,True,30,1,35,0.11522764255525063,6.110141452652943e-05,0.11520740000000002,26,1,True,10,8
141,1024,1024,64,0.17657209529989584,8,32,1,32,RS,False,False,True,False,False,4,1,35,0.17660344755724702,4.73178225041127e-05,0.17658777142857143,14,1,True,26,1
142,512,1,1024,0.12942737797629764,8,1,1,1,RS,True,True,False,True,True,13,8,35,0.12945427916655952,4.0600130692460134e-05,0.12944082857142858,1,16,True,28,1
143,2048,2048,128,0.20319783917256606,32,64,64,512,RS,False,True,False,False,False,16,1,35,0.20330438939886253,0.00016080898543277298,0.2032511142857143,1,28,True,15,1
144,1,1024,128,0.21181568341432916,1,16,128,16,RS,False,False,False,True,False,9,1,35,0.21188505944281372,0.00010470450548752835,0.21185037142857144,3,15,True,1,32
145,1024,1,1,0.19845212306682078,32,512,64,32,RS,True,False,False,True,False,15,1,35,0.19850056264746493,7.310655349054006e-05,0.19847634285714286,29,1,True,27,1
146,256,128,2048,0.12364425981223505,1,64,32,64,RS,True,False,False,False,False,25,1,35,0.12367059733062209,3.9749419197400264e-05,0.12365742857142857,16,1,True,26,8
147,64,64,2048,inf,32,256,1,1,RS,True,True,False,True,True,3,1,1,inf,inf,inf,19,1,False,20,1
148,1024,64,512,0.1440551203897294,1,128,32,32,RS,True,False,False,False,False,25,32,35,0.14407550818169917,3.0769903132371585e-05,0.14406531428571429,1,3,True,23,1
149,256,2048,64,0.3085800439552801,1,32,16,256,RS,True,False,True,True,False,11,8,35,0.3095666989018628,0.0014890909803484493,0.30907337142857144,1,29,True,8,1
150,128,2048,1024,0.21290308074232261,8,64,32,64,RS,True,True,False,False,True,30,1,35,0.21305377640053452,0.00022743467328497778,0.21297842857142857,30,1,True,30,1
151,64,2048,256,inf,1,16,128,1,RS,True,False,False,True,False,13,32,1,inf,inf,inf,14,11,False,1,1
152,512,2048,1024,0.10269005413398745,1,16,256,64,RS,False,True,True,True,False,14,1,35,0.10271708872315542,4.080146055809147e-05,0.10270357142857144,21,1,True,1,8
153,1024,256,256,0.19675613386115715,8,1,16,128,RS,True,True,True,True,True,15,8,35,0.19704798042455707,0.0004404641021764687,0.1969020571428571,21,1,True,26,1
154,2048,256,2048,0.09247361080386714,8,256,32,128,RS,False,True,True,False,True,6,1,35,0.09256852062470429,0.0001432409158283591,0.09252106571428571,1,20,True,24,8
155,512,1024,512,0.20211515177792094,1,256,64,128,RS,False,True,False,False,True,22,8,35,0.20224644822207904,0.00019815676333938888,0.2021808,24,26,True,1,1
156,64,2048,1024,0.11713427241415457,1,512,32,16,RS,False,True,False,True,False,29,1,35,0.11718264187155973,7.30007212712474e-05,0.11715845714285715,19,1,True,22,8
157,2048,1,512,0.11166508221033102,8,16,1,128,RS,True,True,False,True,False,3,1,35,0.11177583207538329,0.00016714721361843956,0.11172045714285715,4,5,True,1,8
158,512,128,1,0.1692114212135319,8,32,32,32,RS,True,True,False,False,True,24,1,35,0.1692542359293252,6.461732881877216e-05,0.16923282857142855,3,20,True,1,1
159,1,512,2048,inf,1,16,512,256,RS,False,True,False,True,False,27,32,1,inf,inf,inf,1,21,False,29,1
