id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
80,1,64,2048,0.1950041425998837,1,False,1,32,DLMT,True,False,True,True,True,30,1,1,35,0.19517837168583058,0.0002629520698157902,0.19509125714285713,4,7,True,1,32
81,1,1024,2048,0.2922787714139017,1,False,256,512,DLMT,False,True,False,True,False,29,1,512,35,0.2932326000146698,0.0014395484167202034,0.29275568571428573,1,5,True,14,32
82,2048,1,512,0.27787897959094954,1,False,32,128,DLMT,True,False,True,True,False,24,1,512,35,0.27801033469476477,0.00019824529435699968,0.27794465714285715,12,30,True,1,32
83,512,64,64,0.24385344365347178,1,False,1,512,DLMT,True,True,True,False,True,27,1,64,35,0.24399638491795678,0.00021573149600220007,0.24392491428571428,18,1,True,23,32
84,1,128,512,0.24077018560733893,1,False,16,512,DLMT,False,True,True,False,True,18,1,64,35,0.24084707153551826,0.00011603868461220563,0.2408086285714286,29,17,True,1,32
85,256,2048,512,0.26288829879896447,1,False,512,64,DLMT,True,False,False,True,True,4,1,256,35,0.2630325012010355,0.00021763484489917346,0.2629604,30,30,True,1,32
86,1,1024,1,0.31547523193421567,1,False,512,1,DLMT,False,False,False,True,True,1,1,512,35,0.31619242520864144,0.0010824108669530068,0.31583382857142855,26,1,True,20,32
87,2048,2048,2048,0.2418845577300582,1,False,1,512,DLMT,True,False,False,False,True,19,1,512,35,0.2419542422699418,0.00010517012068888396,0.2419194,13,25,True,1,32
88,1,2048,256,0.2972976623897252,1,False,1,16,DLMT,False,True,True,True,False,3,1,32,35,0.2974121661817033,0.0001728127593550906,0.29735491428571426,30,1,True,19,32
89,2048,512,512,0.2848328799973709,1,False,64,1,DLMT,True,True,True,False,False,12,1,64,35,0.2848964914312006,9.600439615784771e-05,0.28486468571428575,15,1,True,7,32
90,256,2048,512,0.23603813464261994,1,False,1,16,DLMT,False,False,True,True,True,13,1,32,35,0.23619580821452293,0.00023796596223761408,0.23611697142857144,1,18,True,22,32
91,1024,1,2048,0.2102238904794517,1,False,128,512,DLMT,True,True,False,True,True,19,1,16,35,0.21045416666340547,0.00034754013011566897,0.21033902857142858,28,1,True,15,32
92,2048,512,128,0.17058830336520134,1,False,512,512,DLMT,False,False,True,True,True,1,1,32,35,0.17075975377765581,0.00025875840753372074,0.17067402857142858,1,30,True,1,32
