id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
69,128,2048,64,0.24649089461174126,2,False,64,2,SIMA,True,True,True,False,True,2,2,1,35,32,4,1,19,0.0001145022733933467,True,0.24652882857142855,0.24656676253111584
70,128,2048,64,0.2423312827786666,2,False,64,2,SIMA,True,False,True,True,True,3,2,1,35,32,4,1,18,0.0001195400163552118,True,0.24237088571428572,0.24241048864990483
71,256,2048,16,0.12269186180996053,2,False,16,1,SIMA,True,True,False,True,True,2,2,1,35,16,4,1,18,5.1213550502792466e-05,True,0.12270882857142859,0.12272579533289665
72,256,1024,64,0.16667772612471182,1,False,16,1,SIMA,True,False,True,False,False,2,2,2,35,8,5,1,19,4.9639549735664586e-05,True,0.16669417142857143,0.16671061673243104
73,256,1024,16,0.41160005908019826,1,False,32,2,SIMA,True,True,True,False,True,4,2,1,35,32,5,1,20,0.00022258427617421756,True,0.41167380000000003,0.4117475409198018
74,256,1024,16,0.1663166415559047,1,False,64,1,SIMA,True,False,True,False,False,2,8,2,35,8,5,1,19,5.800154818482667e-05,True,0.16633585714285715,0.1663550727298096
75,256,1024,32,0.12314801373641428,1,False,32,1,SIMA,True,False,False,False,False,4,2,1,35,16,3,1,20,0.00022660202639726625,True,0.1232230857142857,0.12329815769215711
76,256,2048,64,0.25100080623983334,2,False,16,1,SIMA,True,False,False,False,True,2,2,1,35,32,5,1,20,0.00012943012928737566,True,0.2510436857142857,0.25108656518873806
77,128,1024,64,0.14046091333449323,1,False,64,2,SIMA,True,True,True,True,True,4,4,1,35,16,3,1,18,0.0001801620223180097,True,0.1405206,0.14058028666550676
78,64,1024,64,0.14493585754598606,1,False,64,2,SIMA,True,False,False,False,True,2,4,1,35,16,4,1,18,0.00010185036643457449,True,0.1449696,0.14500334245401394
79,256,1024,32,0.09378802550640448,2,False,32,1,SIMA,True,False,True,True,False,3,2,1,35,16,5,1,18,2.9262475239508806e-05,True,0.09379772000000001,0.09380741449359555
80,128,2048,16,0.09286502780934863,2,False,32,1,SIMA,True,True,True,False,True,4,2,1,35,16,3,1,19,3.008344530855299e-05,True,0.0928749942857143,0.09288496076207997
81,256,1024,32,0.09366589044272262,1,False,64,1,SIMA,True,False,True,False,True,4,2,1,35,8,3,1,19,3.210217921269723e-05,True,0.09367652571428571,0.0936871609858488
82,256,2048,16,0.11027874871819156,1,False,64,1,SIMA,False,False,False,False,True,2,2,1,35,8,4,1,18,3.680756355280672e-05,True,0.11029094285714287,0.11030313699609419
83,256,2048,64,0.25172752637760587,2,False,16,2,SIMA,True,False,True,False,True,4,4,2,35,8,5,1,18,3.377029246336588e-05,True,0.2517387142857143,0.25174990219382276
84,64,2048,16,0.0956302270922604,1,False,16,1,SIMA,True,False,True,False,True,3,2,1,35,8,3,1,20,3.911512782146682e-05,True,0.09564318571428572,0.09565614433631103
