id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
96,32,4,512,1024,2.496065200265194,32,False,8,DLMT,2048,True,False,False,True,1,1,True,4,8,4,10,16,1,2.543646,0.07676860454639,True,True,4,32,1024,2.5912267997348057,30
97,32,4,512,1024,2.2955974719448387,32,False,1,DLMT,2048,False,False,False,True,1,1,False,4,9,16,10,16,1,2.3816859999999997,0.13889838344631655,True,True,2,8,1024,2.467774528055161,30
98,32,4,512,1024,2.435662863265274,32,False,64,DLMT,2048,False,False,False,True,1,1,True,4,1,1,10,16,1,2.5063079999999998,0.1139814504031248,True,True,4,1,1024,2.5769531367347254,30
99,32,4,512,1024,2.3567099645652543,32,False,512,DLMT,2048,True,False,False,True,1,1,False,4,9,8,10,16,1,2.4351439999999998,0.12654834476989418,True,True,8,1,1,2.5135780354347452,30
100,32,4,512,1024,2.3881419793086422,32,False,8,DLMT,2048,False,False,False,True,1,1,False,4,22,16,10,16,1,2.478656,0.1460386353127144,True,True,16,1,1024,2.5691700206913577,30
101,32,4,512,1024,2.42122414367295,32,False,2048,DLMT,2048,False,False,False,True,1,1,True,4,19,2,10,16,1,2.46526,0.07104906304800929,True,True,1,1,1024,2.5092958563270495,30
102,32,4,512,1024,2.381911047263947,32,False,1,DLMT,2048,False,False,False,True,1,1,False,4,28,1,10,16,1,2.4638800000000005,0.13225170978100811,True,True,16,8,1024,2.545848952736054,30
103,32,4,512,1024,2.331565508058169,32,False,256,DLMT,2048,False,False,False,True,1,1,True,4,12,2,10,16,1,2.482388,0.24334253112844867,True,True,16,8,2048,2.6332104919418304,30
104,32,4,512,1024,2.4219705719638704,32,False,128,DLMT,2048,True,False,False,True,1,1,False,4,1,1,10,16,1,2.484048,0.10015799546716178,True,True,1,2,1,2.5461254280361296,30
105,32,4,512,1024,2.3556210269713818,32,False,1,DLMT,2048,True,False,False,True,1,1,True,4,17,1,10,16,1,2.416402,0.09806624748607438,True,True,8,2,1024,2.4771829730286186,30
106,32,4,512,1024,2.3698706549137514,32,False,512,DLMT,2048,False,False,False,True,1,1,True,4,21,32,10,16,1,2.416642,0.0754626007768087,True,True,32,2,1024,2.4634133450862485,30
107,32,4,512,1024,2.321904188752856,32,False,2048,DLMT,2048,False,False,False,True,1,1,False,4,18,32,10,16,1,2.4137079999999997,0.14811963062335795,True,True,16,1,1,2.5055118112471435,30
108,32,4,512,1024,2.4247708601576945,32,False,128,DLMT,2048,False,False,False,True,1,1,False,4,18,32,10,16,1,2.467378,0.06874391955656876,True,True,8,4,2048,2.5099851398423056,30
109,32,4,512,1024,2.4150685089377295,32,False,8,DLMT,2048,True,False,False,True,1,1,False,4,11,16,10,16,1,2.483087,0.10974352409595749,True,True,2,32,1024,2.55110549106227,30
110,32,4,512,1024,2.307858517117768,32,False,16,DLMT,2048,False,False,False,True,1,1,False,4,30,32,10,16,1,2.394733,0.14016647174342375,True,True,32,4,2048,2.481607482882232,30
111,32,4,512,1024,2.462037949109744,32,False,2048,DLMT,2048,True,False,False,True,1,1,False,4,30,16,10,16,1,2.5348960000000003,0.11755184713138285,True,True,1,2,1024,2.6077540508902564,30
112,32,4,512,1024,2.3544295111403164,32,False,64,DLMT,2048,True,False,False,True,1,1,False,4,30,2,10,16,1,2.4167559999999995,0.10055983931968071,True,True,32,1,1024,2.4790824888596825,30
113,32,4,512,1024,2.401820386300587,32,False,16,DLMT,2048,True,False,False,True,1,1,False,4,1,1,10,16,1,2.458422,0.09132311610977802,True,True,8,16,2048,2.5150236136994133,30
114,32,4,512,1024,2.304053384776283,32,False,16,DLMT,2048,False,False,False,True,1,1,False,4,21,1,10,16,1,2.349844,0.07388025530546032,True,True,1,1,2048,2.395634615223717,30
115,32,4,512,1024,2.462804032973545,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,1,4,10,16,1,2.54211,0.1279551511272602,True,True,1,32,2048,2.621415967026455,30
116,32,4,512,1024,2.5261948709293978,32,False,256,DLMT,2048,False,False,False,True,1,1,False,4,30,1,10,16,1,2.5691269999999995,0.06926826907755099,True,True,4,32,2048,2.6120591290706012,30
117,32,4,512,1024,2.357080276024296,32,False,1,DLMT,2048,True,False,False,True,1,1,False,4,29,8,10,16,1,2.4658059999999997,0.1754220642450658,True,True,4,1,1,2.5745317239757033,30
118,32,4,512,1024,2.3503412254523024,32,False,2048,DLMT,2048,True,False,False,True,1,1,False,4,11,2,10,16,1,2.417152,0.10779495004869193,True,True,2,16,2048,2.483962774547698,30
119,32,4,512,1024,2.3646373998521346,32,False,512,DLMT,2048,False,False,False,True,1,1,False,4,10,16,10,16,1,2.421024,0.09097620537261374,True,True,16,8,2048,2.4774106001478655,30
120,32,4,512,1024,2.4309614076791344,32,False,1,DLMT,2048,False,False,False,True,1,1,False,4,12,8,10,16,1,2.506964,0.12262536541841577,True,True,32,4,1024,2.5829665923208656,30
121,32,4,512,1024,2.327156532522396,32,False,256,DLMT,2048,True,False,False,True,1,1,False,4,24,16,10,16,1,2.418297,0.14704936749608952,True,True,32,1,2048,2.509437467477604,30
