id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
115,True,35,0.2127976704165705,1,16,1,512,1,28,1,DLMT,22,2048,256,1,0.2127040438691437,0.00014130415884227346,1,0.2127508571428571,1
116,True,35,0.21058457449093396,1,1,128,512,1,13,1,DLMT,3,1,2048,1,0.21054971122335178,5.26167506501463e-05,1,0.21056714285714287,32
117,True,35,0.21541089745263328,1,1,512,1,1,29,1,DLMT,28,128,1024,1,0.2153108739759381,0.00015095860765285932,1,0.2153608857142857,1
118,True,35,0.2119230926800354,1,128,1,1,1,25,1,DLMT,1,1024,512,1,0.21189256446282173,4.6074154958088766e-05,1,0.21190782857142856,1
119,True,35,0.2097402554743173,1,512,256,1,1,30,1,DLMT,29,2048,512,1,0.20971728738282558,3.466417311806417e-05,1,0.20972877142857144,32
120,True,35,0.2231635974890486,1,16,16,1,1,19,1,DLMT,1,128,1,1,0.22312114536809427,6.407008917217691e-05,1,0.22314237142857143,32
121,True,35,0.2110605225336178,1,1,512,512,1,29,1,DLMT,17,1024,2048,1,0.21095987746638223,0.0001518967318373128,1,0.2110102,32
122,True,35,0.4385878487609995,1,256,1,128,1,1,1,DLMT,29,128,2048,1,0.4384934083818575,0.00014253241951305194,1,0.4385406285714285,1
123,True,35,0.210049693836449,1,128,1,64,1,27,1,DLMT,5,1,2048,1,0.2089590490206939,0.0016460357934958093,1,0.20950437142857145,1
124,True,35,0.2426181237219079,1,512,512,64,1,7,1,DLMT,27,1,1,1,0.24258724770666354,4.659906279166211e-05,1,0.24260268571428573,8
125,True,35,0.215205629375483,1,512,128,128,1,30,1,DLMT,14,1,1,1,0.2151908277673742,2.2339057038910742e-05,1,0.2151982285714286,1
126,True,35,0.20113252565809872,1,16,1,32,1,1,1,DLMT,30,1,1,1,0.2010915886276156,6.178346651567745e-05,1,0.20111205714285715,1
127,True,35,0.23168860020926021,1,1,512,1,1,8,1,DLMT,7,2048,512,1,0.231654314076454,5.1745720517129846e-05,1,0.2316714571428571,1
128,False,1,inf,1,1,1,512,1,30,1,DLMT,19,1,1,1,inf,inf,1,inf,32
129,True,35,0.23391654817600857,1,512,512,256,1,9,1,DLMT,3,2048,1,1,0.2338456232525629,0.00010704214695385025,1,0.23388108571428573,8
130,True,35,0.19839343379317909,1,128,1,512,1,13,1,DLMT,29,2048,1,1,0.1980573090639638,0.0005072901162459385,1,0.19822537142857144,8
131,True,35,0.16820876856178738,1,32,1,1,1,30,1,DLMT,23,1,128,1,0.16811763143821254,0.0001375470413037978,1,0.16816319999999996,32
