id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
109,8,1,2048,8,16,256,512,512,21,0.0972892153754089,64,1,128,RS,1,False,True,True,1024,128,False,1,11,20,512,1,35,1024,1,20,0.09730447714285713,32,False,4.606708825624052e-05,True,0.09731973891030536
110,1,1,256,1,16,16,16,1,22,0.10190891604921365,32,32,64,RS,1,True,False,False,2048,1,True,6,1,25,512,1,35,512,1,12,0.10391405714285713,32,True,0.006052445238757909,True,0.10591919823650062
111,32,1,512,1,128,64,32,128,22,0.2700029571293368,256,16,1,RS,8,True,False,False,512,128,False,12,17,1,2048,8,35,1,5,1,0.2709775428571428,1,True,0.0029417514641340227,True,0.2719521285849488
112,8,1,2048,1,64,512,128,1,22,0.10276425633295608,512,128,1,RS,1,False,False,True,1,256,False,1,30,7,128,1,35,256,1,9,0.10286582857142856,32,False,0.0003065920962278513,True,0.10296740080990105
113,1,1,1024,32,16,16,512,1,1,0.21615891798609999,512,64,128,RS,8,True,True,True,512,256,True,1,23,30,128,8,35,1024,24,3,0.21875885714285714,1,True,0.007847821492592182,True,0.2213587962996143
114,1,1,512,32,64,16,32,1024,3,0.13808872302613692,16,512,256,RS,8,False,False,False,1,1024,False,22,1,24,1,1,35,64,26,1,0.1381126857142857,1,False,7.233049996018082e-05,True,0.13813664840243448
115,1,8,64,1,1,16,64,256,24,0.1544227552317855,32,32,256,RS,1,False,True,False,1024,1,True,8,23,1,1024,1,35,128,1,19,0.15566617142857142,8,True,0.003753206427163043,True,0.15690958762535734
116,8,1,1,1,16,512,16,1,1,0.10341326619889447,1,16,256,RS,1,True,False,False,64,2048,True,21,14,1,2048,1,35,256,21,21,0.10501874285714285,32,False,0.004846072721244682,True,0.10662421951539124
117,1,1,1024,32,128,512,16,1,21,0.10817575307965926,16,64,1,RS,32,True,True,True,2048,1,True,1,9,4,1,1,35,1024,1,27,0.11023165714285714,1,True,0.006205671410401744,True,0.11228756120605501
118,1,8,1024,8,256,16,128,1,1,0.23183727509886162,256,256,256,RS,8,True,False,True,1,512,True,3,15,1,2048,8,35,1024,12,24,0.2347483142857143,1,True,0.008786865583752761,True,0.23765935347256698
