id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
84,True,35,False,1,16,16,16,1,1,16,DLMT,30,2048,2048,2048,0.1461285601067699,0.14618629703608715,8.713840738053751e-05,1,0.14615742857142852,1
85,True,35,False,1,16,512,512,1,3,16,DLMT,21,2048,1,1,0.1294494551155463,0.12948323059873937,5.097503190338648e-05,1,0.12946634285714284,8
86,False,1,False,1,128,1,128,1,30,16,DLMT,2,128,1,128,inf,inf,inf,1,inf,32
87,True,35,False,32,1,512,512,1,5,16,DLMT,4,512,2048,1,0.12866499411583182,0.12869163445559673,4.020644683812284e-05,1,0.12867831428571427,1
88,True,35,False,1,1,512,128,1,23,16,DLMT,1,128,2048,512,0.14297119604965325,0.14305840395034675,0.0001316169333439156,1,0.1430148,1
89,True,35,False,1,1,128,128,1,25,16,DLMT,17,1,256,1,0.1429289958631858,0.14297637556538562,7.150695128190423e-05,1,0.1429526857142857,1
90,True,35,False,1,256,128,512,1,26,16,DLMT,30,1,2048,1,0.1487026917856186,0.1487612510715243,8.83795340608701e-05,1,0.14873197142857145,32
91,True,35,False,32,1,16,1,1,16,16,DLMT,22,512,2048,1,0.1387723718255085,0.13882317103163438,7.666777520642011e-05,1,0.13879777142857144,1
92,True,35,False,1,1,512,512,1,29,16,DLMT,12,2048,1024,1024,0.14708021958320622,0.14713235184536527,7.867966570797357e-05,1,0.14710628571428574,1
93,True,35,False,1,16,16,128,1,2,16,DLMT,1,2048,2048,1,0.18735647982308914,0.18743809160548222,0.0001231710938789884,1,0.18739728571428568,32
94,True,35,False,1,512,1,16,1,22,16,DLMT,17,1,1,512,0.1323288860196061,0.13236162826610812,4.941563827496674e-05,1,0.1323452571428571,8
95,True,35,False,1,512,256,32,1,7,16,DLMT,7,512,1024,512,0.13067486299087047,0.1306994798662723,3.715257015857381e-05,1,0.1306871714285714,1
96,True,35,False,1,1,1,512,1,1,16,DLMT,4,512,256,64,0.1447590574504674,0.144867513978104,0.000163686035957093,1,0.1448132857142857,1
97,True,35,False,32,16,1,32,1,22,16,DLMT,30,1,1,1,0.19419265108501368,0.19423277748641485,6.0560039360514335e-05,1,0.19421271428571427,1
98,True,35,False,32,256,512,1,1,23,16,DLMT,16,512,1,1,0.14097982985708457,0.14117068442862968,0.000288043780685916,1,0.14107525714285712,1
99,True,35,False,32,1,32,512,1,14,16,DLMT,7,2048,128,512,0.14333660956647049,0.1434469904335295,0.0001665903101280848,1,0.14339179999999999,1
100,True,35,False,1,1,512,128,1,21,16,DLMT,30,1,512,2048,0.1398948899970971,0.1400468242886172,0.0002293040580112094,1,0.13997085714285715,1
101,True,35,False,1,512,64,512,1,16,16,DLMT,2,2048,2048,2048,0.13746472545926028,0.13749178882645405,4.0844893268586274e-05,1,0.13747825714285716,1
102,True,35,False,32,512,128,256,1,8,16,DLMT,10,1,1,1,0.13375247073911722,0.1337790721180256,4.0147645876037325e-05,1,0.1337657714285714,1
103,True,35,False,32,512,1,1,1,22,16,DLMT,22,64,1024,512,0.14049071863169071,0.14064482422545216,0.00023258105631177476,1,0.14056777142857144,1
104,True,35,False,1,32,512,128,1,7,16,DLMT,3,1,1,512,0.12901499410686468,0.12904626303599231,4.719206090270495e-05,1,0.1290306285714285,1
105,True,35,False,32,16,512,1,1,1,16,DLMT,30,1024,1024,2048,0.14744538135532576,0.14757781864467429,0.00019987856313271902,1,0.14751160000000002,1
106,True,35,False,32,16,16,64,1,4,16,DLMT,23,1,1024,1024,0.1305788617437207,0.13066730968485074,0.00013348844175295493,1,0.1306230857142857,1
107,True,35,False,8,16,1,16,1,27,16,DLMT,6,2048,2048,2048,0.130020173467623,0.13005176938951984,4.768556877492072e-05,1,0.13003597142857143,1
108,True,35,False,1,16,128,16,1,30,16,DLMT,22,1,1,2048,0.14748417415793727,0.1475384544134913,8.192148555731937e-05,1,0.1475113142857143,1
109,True,35,False,32,128,128,256,1,6,16,DLMT,22,1,2048,2048,0.12981187726984908,0.12983709415872233,3.805812954533801e-05,1,0.1298244857142857,1
110,True,35,False,1,128,512,1,1,6,16,DLMT,9,2048,2048,256,0.12618827443900932,0.1263076112752764,0.00018010694328761455,1,0.12624794285714286,1
111,True,35,False,32,1,128,128,1,30,16,DLMT,18,512,2048,1,0.14890843361869752,0.14902036638130242,0.00016893248017223517,1,0.14896439999999997,1
112,True,35,False,1,512,64,1,1,20,16,DLMT,11,64,512,1,0.13887661640438856,0.13891309788132575,5.505900360114647e-05,1,0.13889485714285715,1
113,True,35,False,32,64,128,512,1,25,16,DLMT,29,2048,2048,512,0.14407354786273704,0.14411182356583438,5.7766906704481775e-05,1,0.1440926857142857,1
114,True,35,False,32,128,64,256,1,29,16,DLMT,19,2048,128,1,0.14949181508238865,0.14953521348903984,6.549825359877776e-05,1,0.14951351428571424,1
115,True,35,False,32,256,1,64,1,30,16,DLMT,1,128,2048,1,0.14833862062331243,0.1483877793766875,7.41919518161213e-05,1,0.14836319999999997,1
116,True,35,False,32,128,256,1,1,21,16,DLMT,6,512,512,512,0.1406593854221595,0.14081644314926905,0.00023703650971691094,1,0.14073791428571428,1
117,True,35,False,32,512,512,512,1,8,16,DLMT,7,2048,512,1,0.1316293376322535,0.13174140522488934,0.00016913596993700381,1,0.13168537142857142,1
118,True,35,False,8,16,512,256,1,28,16,DLMT,1,1,1024,128,0.1266173088905574,0.1266585196808711,6.21966335462765e-05,1,0.12663791428571425,1
119,True,35,False,1,512,64,1,1,30,16,DLMT,30,2048,64,512,0.14757266453559328,0.14762407832154958,7.75953186048499e-05,1,0.14759837142857143,1
120,True,35,False,1,256,1,512,1,30,16,DLMT,23,1,512,512,0.14881653114162383,0.1489839260012333,0.00025263763838060874,1,0.14890022857142857,1
