id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
44,8,512,1,32,1,1,inf,False,DLMT,2,inf,False,1,5,False,inf,True,inf,False
45,8,8,1,1,2,128,inf,False,DLMT,16,inf,False,1,1,False,inf,False,inf,True
46,1,1024,1,8,64,16,inf,False,DLMT,8,inf,False,10,1,False,inf,True,inf,True
47,8,256,1,1024,8,2048,inf,False,DLMT,8,inf,False,23,1,False,inf,False,inf,False
48,16,2,10,2,1,1,1.4536710000000002,False,DLMT,8,0.03668056854793829,True,9,1,True,1.4309365658318811,False,1.4764054341681192,False
49,1,2048,1,32,16,512,inf,False,DLMT,2,inf,False,1,1,True,inf,True,inf,False
50,2,1,1,2048,1024,1,inf,False,DLMT,16,inf,False,1,18,False,inf,True,inf,False
51,2,1,1,2048,1,2048,inf,False,DLMT,8,inf,False,27,1,True,inf,True,inf,False
52,1,512,1,128,4,1024,inf,False,DLMT,32,inf,False,1,9,True,inf,True,inf,True
53,2,2048,10,32,1,256,2.3565820000000004,False,DLMT,1,0.0003625410321604583,True,17,1,False,2.356357298869261,True,2.35680670113074,False
54,2,1,10,32,8,1,1.4619550000000001,False,DLMT,1,0.05144861713399109,True,1,21,True,1.430067402681413,False,1.4938425973185872,True
55,16,2048,1,1024,128,1,inf,False,DLMT,2,inf,False,25,1,True,inf,True,inf,True
56,32,8,10,256,1,2048,0.9535120000000001,False,DLMT,1,0.3288010774377116,True,8,1,True,0.749722725587719,True,1.1573012744122813,True
57,32,64,1,2,2,512,inf,False,DLMT,2,inf,False,1,24,False,inf,True,inf,False
58,4,512,1,1,256,128,inf,False,DLMT,8,inf,False,6,1,True,inf,False,inf,True
