id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
131,2048,4,1,2048,2,512,2.2968620510052333,2048,False,1024,DLMT,8,False,False,True,True,2,4,9,False,16,18,16,32,10,1,4,2.296983,8,0.00019514353691582397,1,True,1,19,2048,2.2971039489947667,26,1
132,32,4,64,32,1,64,2.8951841629539588,32,False,1,DLMT,64,False,True,False,False,2,32,7,False,8,6,128,1,10,1,32,2.895348,16,0.00026434068926294946,8,True,1,4,128,2.895511837046041,1,14
133,16,16,1,16,128,64,3.5562456455289615,1024,False,512,DLMT,1,False,True,True,True,4,4,21,False,8,10,1024,8,10,1,2,3.556461,32,0.000347460789154731,1,True,1,13,1024,3.5566763544710387,8,1
134,2,2,64,16,32,1024,inf,16,False,128,DLMT,256,True,True,True,False,1,1024,1,True,1,2,1,32,1,23,2,inf,1,inf,2,False,8,1,256,inf,1,20
135,16,128,2048,512,512,64,3.776049718448882,1,False,512,DLMT,2048,True,False,True,False,2,2,1,True,8,27,2048,16,10,15,4,3.7763600000000004,2,0.0005006196160759559,1,True,22,1,64,3.7766702815511186,24,1
136,8,64,2,8,2,1024,2.9700455851441507,64,False,256,DLMT,1024,True,True,False,False,1,128,1,True,32,16,64,32,10,8,2,2.970123,16,0.00012490396310767455,1,True,1,22,256,2.9702004148558494,1,22
137,2,32,1024,2,2,2,2.852969176771632,8,False,128,DLMT,2048,True,True,True,True,1,1,1,True,8,7,1,8,10,10,4,2.853407,2,0.0007064000283125622,16,True,10,1,32,2.8538448232283677,3,1
138,512,32,32,1024,512,16,2.9595668656253338,512,False,32,DLMT,1,True,True,True,False,8,1,29,False,1,12,1,1,10,1,32,2.959823,16,0.00041325657889504803,2,True,25,1,512,2.9600791343746664,11,1
139,64,32,1,64,4,32,2.2815360813993983,2,False,128,DLMT,2048,True,True,True,True,4,16,2,False,8,3,4,8,10,1,2,2.2816730000000005,8,0.00022090948372571233,4,True,26,1,16,2.2818099186006027,1,23
140,1,256,4,2,1,1,3.147861101304512,128,False,256,DLMT,16,False,False,True,False,16,16,1,True,1,21,256,1,10,17,32,3.1480539999999997,4,0.00031122981862286383,8,True,1,29,1024,3.1482468986954872,1,2
141,2,2,2,512,2,2048,2.07848163931844,1024,False,128,DLMT,4,False,True,False,True,16,512,1,True,2,22,512,2,10,12,1,2.078853,8,0.0005991669216503803,8,True,1,18,2048,2.07922436068156,30,1
142,128,4,2,512,4,1,4.285756360185776,4,False,1,DLMT,128,False,True,False,False,16,16,19,True,1,4,2048,16,10,1,4,4.286041,1,0.0004592482988537914,1,True,7,1,2048,4.2863256398142235,4,1
143,4,1,2,1,4,512,2.4225358055303534,2,False,64,DLMT,1,True,True,False,False,1,16,1,True,16,14,256,1,10,12,16,2.422683,1,0.00023748894711122598,32,True,30,1,2,2.422830194469647,1,20
144,64,4,2,256,4,128,2.4034119547408044,512,False,32,DLMT,64,True,False,False,False,16,16,30,True,8,12,64,2,10,1,2,2.403519,4,0.0001727107408356644,1,True,1,20,2048,2.403626045259196,1,13
145,128,2,1,256,2,512,10.570589450541414,2,False,4,DLMT,2,False,False,False,False,2,2,1,True,4,14,1024,4,10,15,8,10.571929999999998,4,0.002162891583043102,8,True,18,1,256,10.573270549458583,1,28
146,32,4,16,64,1,8,1.9860380714284576,8,False,256,DLMT,512,True,False,True,False,16,1,1,True,2,28,4,2,10,22,8,1.9861430000000002,4,0.00016929559947031095,1,True,1,23,32,1.9862479285715429,14,1
147,4,4,1024,2048,32,256,8.557751318755829,8,False,16,DLMT,2048,False,False,False,False,4,128,20,False,32,4,128,4,10,1,16,8.557922000000001,32,0.0002753833691418339,2,True,19,1,2048,8.558092681244174,1,13
148,1,128,16,128,2,256,2.62054708048245,2048,False,2048,DLMT,128,True,False,False,True,4,64,1,False,4,3,128,32,10,12,4,2.62077,32,0.00035966651220262154,1,True,30,1,2048,2.6209929195175494,1,13
149,16,256,8,128,8,1024,2.022137291478191,1,False,256,DLMT,8,False,True,True,True,32,16,22,False,1,1,1,8,10,1,1,2.0221720000000003,1,5.599999999997829e-05,4,True,1,26,16,2.0222067085218094,12,1
150,1,256,256,256,8,2048,1.9907944634691426,32,False,1,DLMT,1024,True,True,False,True,2,64,29,True,2,26,512,4,10,1,4,1.9908709999999998,16,0.00012348684140423602,4,True,7,1,1024,1.990947536530857,8,1
151,1,128,16,512,8,2048,inf,1,False,2048,DLMT,16,True,False,False,False,16,64,1,False,1,7,1024,8,1,20,8,inf,1,inf,2,False,1,6,32,inf,1,1
152,32,64,2,512,128,32,2.535998135868878,1,False,64,DLMT,128,False,False,True,True,4,2,1,True,8,10,1,2,10,14,8,2.5360539999999996,1,9.013323471398864e-05,1,True,1,15,4,2.536109864131121,2,1
153,2,1024,2,4,2,8,3.0280862122092422,32,False,2048,DLMT,8,False,True,True,False,4,8,1,True,2,18,1024,1,10,11,2,3.0282379999999995,2,0.000244899979583557,2,True,20,1,1024,3.028389787790757,21,1
154,2,64,512,2048,1024,1,5.1559884294928064,1,False,64,DLMT,1,False,True,True,True,2,2048,27,False,32,28,1024,8,10,1,1,5.156095,1,0.00017194475857082746,4,True,1,5,64,5.156201570507193,21,1
155,32,1024,32,2048,2,2048,2.6829407109623147,2,False,1,DLMT,256,True,False,False,True,16,1024,1,False,8,24,512,16,10,1,2,2.683172,8,0.0003731702024545746,1,True,11,1,1,2.683403289037685,1,24
156,64,4,8,64,64,256,3.409967477072206,32,False,512,DLMT,128,False,False,False,False,16,16,8,True,4,22,256,4,10,1,16,3.410203,4,0.00038000131578718995,32,True,1,13,1,3.410438522927794,18,1
157,512,4,2,512,8,1024,2.3119110966256784,16,False,32,DLMT,8,False,True,False,True,2,8,1,False,4,17,32,2,10,2,32,2.3120719999999997,4,0.0002596073958884798,8,True,16,1,256,2.312232903374321,9,1
158,256,64,4,1024,64,256,3.8184321251570066,1,False,1024,DLMT,1,False,True,False,False,8,128,25,True,2,29,2048,32,10,1,4,3.8186279999999995,4,0.0003160316439852071,1,True,3,1,1024,3.8188238748429923,16,1
159,2,32,1,256,512,8,2.675714860684216,8,False,64,DLMT,256,False,True,True,False,4,1,1,True,8,24,512,2,10,7,2,2.6757990000000005,4,0.0001357534529947858,32,True,1,7,512,2.675883139315785,23,1
160,1,128,1,2048,2,256,inf,2,False,256,DLMT,1,True,True,False,False,16,8,1,True,1,14,64,4,1,11,8,inf,4,inf,2,False,1,25,512,inf,30,1
161,4,2048,256,16,1,16,5.327809426645801,32,False,1,DLMT,1024,True,False,True,False,4,16,20,False,8,3,8,1,10,1,4,5.32789,16,0.00012999999999998397,1,True,1,15,64,5.327970573354199,1,1
162,4,2,16,256,32,1,inf,512,False,8,DLMT,32,False,False,True,False,1,1,1,False,2,12,1,16,1,16,8,inf,2,inf,16,False,25,1,1,inf,29,1
163,1024,16,1,2048,8,512,13.486233781936427,4,False,16,DLMT,256,False,True,True,True,16,256,1,True,2,3,128,8,10,18,2,13.48633,32,0.00015524174696223843,2,True,28,1,1,13.486426218063574,1,3
164,128,512,4,128,1024,2048,3.323041126547053,128,False,2048,DLMT,2048,False,False,False,True,16,128,1,True,4,23,1024,1,10,25,1,3.324935,4,0.003055644776475131,2,True,1,24,512,3.3268288734529468,1,14
165,1024,128,1024,1024,256,256,2.228160405023384,8,False,128,DLMT,2048,True,True,False,True,4,128,1,False,8,21,256,2,10,18,8,2.22829,4,0.00020909328061900016,8,True,12,1,128,2.2284195949766157,20,1
166,64,1,4,512,32,32,2.083623216712178,1,False,256,DLMT,2048,True,True,False,True,8,2,1,False,2,10,64,2,10,4,2,2.083692,2,0.00011097747519205222,16,True,1,2,64,2.083760783287822,26,1
167,1,64,2,1024,1,2048,2.672971737934087,256,False,2048,DLMT,1,False,False,False,False,8,4,1,False,1,23,8,32,10,25,4,2.6730709999999998,2,0.0001601530517973198,32,True,13,1,256,2.6731702620659124,17,1
168,16,1,2048,32,4,1024,3.577242695954078,1,False,2,DLMT,2048,False,True,True,False,1,4,26,False,16,9,512,2,10,1,1,3.5773050000000004,32,0.00010052362906297792,4,True,1,16,8,3.577367304045923,15,1
169,4,1,512,16,256,2048,inf,128,False,1024,DLMT,1,True,True,True,False,8,256,29,False,1,7,1024,32,1,1,4,inf,4,inf,32,False,1,14,128,inf,25,1
170,128,64,4,512,4,1024,2.746358500578358,32,False,1024,DLMT,256,False,False,True,False,8,32,1,False,1,28,16,2,10,18,4,2.7464389999999996,8,0.00012988071450379123,1,True,9,1,2048,2.746519499421641,1,23
171,1,256,16,2,1,1,3.0080138080436867,32,False,512,DLMT,2048,False,False,True,False,1,4,8,False,2,23,8,16,10,1,2,3.0083770000000003,8,0.0005859872012253973,4,True,1,13,2048,3.008740191956314,1,25
172,256,2,2048,1024,8,256,2.1226004364993503,4,False,1024,DLMT,2048,True,False,True,True,8,1,1,True,2,28,32,1,10,28,16,2.1227670000000005,2,0.0002687396509635407,16,True,1,12,1024,2.1229335635006508,1,21
173,16,1024,1,512,8,8,3.150632214763585,64,False,2048,DLMT,512,False,False,True,False,16,1,2,True,2,18,8,16,10,1,2,3.150871,1,0.00038526484397108444,32,True,1,22,128,3.151109785236415,24,1
174,2,2,32,2048,1,512,2.705758061511843,2048,False,2048,DLMT,512,True,False,False,True,16,16,17,False,8,26,1,1,10,1,4,2.7059049999999996,8,0.00023707593720155508,8,True,1,4,2048,2.706051938488156,1,30
175,2,16,128,8,4,512,inf,128,False,1,DLMT,2048,True,True,False,True,8,32,1,True,1,14,128,4,1,13,2,inf,1,inf,32,False,1,23,256,inf,18,1
176,2,2,8,16,64,2048,2.9441681480488096,2,False,8,DLMT,1024,True,True,True,False,4,2,23,True,8,4,512,1,10,1,16,2.9443259999999998,8,0.0002546841180756654,2,True,1,2,16,2.94448385195119,1,29
177,64,16,2,1024,32,32,7.193480636350055,2,False,32,DLMT,16,False,False,False,True,4,2,22,True,32,14,32,8,10,1,4,7.195310000000001,16,0.002951562298173702,8,True,24,1,2048,7.1971393636499466,28,1
178,32,1,256,256,16,256,4.082511910489792,2,False,4,DLMT,1,True,True,False,True,1,4,1,False,32,22,16,4,10,18,2,4.083051,2,0.000869786755475182,8,True,8,1,256,4.083590089510208,19,1
