id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
112,1,16,512,2048,inf,1,False,64,DLMT,512,False,False,True,False,1,27,True,30,30,32,1,1,4,inf,inf,False,True,2,16,2048,inf,28
113,1,64,32,1024,inf,1,False,1,DLMT,512,True,False,True,True,15,14,False,1,1,32,1,1,4,inf,inf,False,True,2,16,2048,inf,19
114,1,4,1,16,inf,1,False,64,DLMT,512,False,False,False,False,1,5,False,30,13,32,1,1,4,inf,inf,False,True,2,16,1,inf,9
115,1,2,128,256,4.627450589447279,1,False,1,DLMT,512,False,False,True,False,1,1,False,24,9,32,10,9,4,4.6700170000000005,0.06867820542937914,True,True,1,16,512,4.712583410552722,11
116,1,8,2,2048,inf,1,False,2048,DLMT,512,False,True,True,True,3,7,True,1,29,32,1,1,4,inf,inf,False,True,4,16,2048,inf,12
117,1,2048,16,2,inf,1,False,1,DLMT,512,True,False,True,True,20,14,True,1,24,32,1,1,4,inf,inf,False,True,8,16,2048,inf,2
118,1,1024,1,1024,inf,1,False,2048,DLMT,512,True,True,False,True,1,1,True,30,3,32,1,21,4,inf,inf,False,True,4,16,2048,inf,10
119,1,4,32,1,inf,1,False,1024,DLMT,512,False,False,True,True,18,1,True,1,11,32,1,30,4,inf,inf,False,True,2,16,128,inf,27
120,1,16,512,128,2.4964346348382938,1,False,1,DLMT,512,False,True,False,False,14,1,False,1,18,32,10,28,4,2.573442,0.12424650271134392,True,True,4,16,1024,2.6504493651617063,9
121,1,256,128,2,inf,1,False,256,DLMT,512,True,True,False,True,4,1,False,1,17,32,1,6,4,inf,inf,False,True,2,16,32,inf,6
122,1,2,256,1,inf,1,False,1,DLMT,512,True,False,True,True,1,1,True,27,25,32,1,21,4,inf,inf,False,True,8,16,4,inf,23
123,1,8,16,128,2.5824771991529927,1,False,1024,DLMT,512,True,False,False,True,28,2,True,1,14,32,10,1,4,2.630065,0.07677990039717428,True,True,2,16,256,2.6776528008470075,29
124,1,64,64,1,2.500541835474839,1,False,1,DLMT,512,False,True,False,True,1,8,False,8,20,32,10,1,4,2.574656,0.11957850686473716,True,True,4,16,256,2.648770164525161,30
125,1,2048,32,32,inf,1,False,1,DLMT,512,False,True,True,False,3,1,True,1,30,32,1,14,4,inf,inf,False,True,8,16,512,inf,20
126,1,16,256,4,inf,1,False,2048,DLMT,512,False,True,False,False,2,1,True,1,30,32,1,5,4,inf,inf,False,True,8,16,32,inf,26
127,1,2048,32,2048,2.5365057641212365,1,False,1,DLMT,512,True,True,False,False,27,1,True,1,30,32,10,30,4,2.5777010000000002,0.06646590200245535,True,True,2,16,1,2.618896235878764,5
128,1,2048,16,8,4.61505062913582,1,False,2048,DLMT,512,False,False,False,False,1,23,True,26,9,32,10,1,4,4.703466,0.14265259683580947,True,True,1,16,2048,4.791881370864179,9
129,1,2,128,1,2.5407725910060286,1,False,4,DLMT,512,True,True,True,True,30,9,True,1,28,32,10,1,4,2.6257499999999996,0.13710566326742304,True,True,8,16,2048,2.7107274089939706,30
130,1,1024,512,32,4.536532297127824,1,False,1024,DLMT,512,True,True,False,True,21,30,False,1,20,32,10,1,4,4.635229000000001,0.15924087436647652,True,True,1,16,32,4.7339257028721775,16
131,1,128,1,4,inf,1,False,1,DLMT,512,True,True,True,False,1,8,False,24,13,32,1,1,4,inf,inf,False,True,2,16,16,inf,29
132,1,16,8,2,4.437907397397415,1,False,512,DLMT,512,False,True,True,False,1,1,True,10,23,32,10,17,4,4.470076000000001,0.051902001348695666,True,True,1,16,512,4.502244602602587,30
133,1,1,512,1,inf,1,False,512,DLMT,512,False,False,True,False,1,1,True,3,19,32,1,30,4,inf,inf,False,True,4,16,256,inf,29
134,1,128,64,2,inf,1,False,1024,DLMT,512,True,False,False,True,25,1,False,1,7,32,1,7,4,inf,inf,False,True,4,16,128,inf,7
135,1,4,64,4,2.4341773830066478,1,False,64,DLMT,512,True,False,True,False,1,1,False,29,30,32,10,1,4,2.505366,0.11485832135287369,True,True,8,16,32,2.576554616993352,13
136,1,4,2,8,4.265375690842734,1,False,8,DLMT,512,False,True,False,True,1,1,False,12,16,32,10,30,4,4.354667999999999,0.1440674811885041,True,True,1,16,512,4.443960309157265,14
137,1,64,512,8,2.491463735192841,1,False,1,DLMT,512,False,False,False,False,1,17,True,6,22,32,10,1,4,2.5458600000000002,0.0877649254543066,True,True,2,16,1,2.6002562648071597,15
138,1,128,64,256,inf,1,False,512,DLMT,512,True,False,True,True,1,1,False,30,10,32,1,30,4,inf,inf,False,True,8,16,1,inf,23
139,1,1,1,16,2.621568438584121,1,False,256,DLMT,512,True,True,True,True,4,1,False,1,22,32,10,12,4,2.658136,0.058999442573637886,True,True,8,16,512,2.6947035614158787,29
140,1,1,32,1024,2.599909460733657,1,False,512,DLMT,512,True,True,True,True,29,22,False,1,30,32,10,1,4,2.6291330000000004,0.04715032832335318,True,True,2,16,1,2.658356539266344,24
141,1,128,2,64,4.379433448701192,1,False,512,DLMT,512,True,False,False,False,1,1,False,7,29,32,10,30,4,4.440945,0.0992449892185998,True,True,1,16,2048,4.502456551298808,2
142,1,1024,128,1024,4.452603492490207,1,False,2048,DLMT,512,True,False,True,True,8,1,True,1,2,32,10,6,4,4.52388,0.11500012713036464,True,True,1,16,1,4.5951565075097935,12
143,1,128,512,512,2.564059285347947,1,False,2048,DLMT,512,True,False,False,False,1,1,True,23,13,32,10,10,4,2.592417,0.04575337518697392,True,True,8,16,512,2.6207747146520535,1
144,1,16,16,32,inf,1,False,16,DLMT,512,True,False,False,True,1,1,False,22,22,32,1,9,4,inf,inf,False,True,4,16,32,inf,19
145,1,128,8,8,2.4850578257441382,1,False,256,DLMT,512,False,False,False,True,1,15,True,15,1,32,10,1,4,2.521188,0.05829374611397,True,True,2,16,16,2.5573181742558617,25
146,1,2048,4,1,inf,1,False,2048,DLMT,512,True,True,True,True,1,13,False,1,5,32,1,1,4,inf,inf,False,True,4,16,1,inf,4
147,1,32,128,8,2.497077338310883,1,False,32,DLMT,512,False,False,False,False,1,19,True,30,1,32,10,1,4,2.591182,0.15183190697610302,True,True,4,16,1024,2.685286661689117,1
148,1,1,512,32,4.364361010386543,1,False,128,DLMT,512,False,True,True,False,19,4,True,1,7,32,10,1,4,4.411213999999999,0.07559432904656277,True,True,1,16,1,4.458066989613456,26
149,1,16,32,1,2.4729453618612367,1,False,1,DLMT,512,False,False,True,True,19,1,True,1,17,32,10,9,4,2.51648,0.07024037927004664,True,True,2,16,4,2.5600146381387634,2
150,1,2048,1,16,2.5804615297964504,1,False,1,DLMT,512,False,False,False,True,29,1,False,1,3,32,10,22,4,2.621243,0.06579831731131124,True,True,8,16,64,2.66202447020355,21
