id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
70,64,256,256,64,6.965431326795437,1024,False,1,DLMT,2048,True,False,0.004212155742609745,17,True,32,10,1,8,False,6.968042,32,True,1,True,2048,6.970652673204563,1,30
71,64,2,512,8,6.950818250412136,1,False,2,DLMT,2048,False,False,0.0020405932960785014,1,True,1,10,30,8,False,6.952083,1,True,8,True,16,6.953347749587864,1,30
72,4,1,512,2,6.959530803621864,256,False,512,DLMT,2048,False,False,0.001516947263420989,23,False,32,10,1,8,False,6.960471,8,False,8,True,128,6.961411196378136,1,30
73,128,8,2048,256,6.975583807810456,1024,False,8,DLMT,2048,True,True,0.003954843233302665,30,False,32,10,1,8,False,6.978035,32,True,8,True,256,6.980486192189544,1,30
74,4,8,32,2048,6.98330291571635,128,False,8,DLMT,2048,False,False,0.0011682640968547248,8,False,8,10,1,8,False,6.984027,1,False,1,True,1,6.98475108428365,1,30
75,128,4,16,2,6.976216593881142,1,False,4,DLMT,2048,False,False,0.0007476764005906218,1,True,32,10,1,8,False,6.976679999999999,8,False,8,True,2048,6.977143406118857,1,30
76,32,1,64,8,6.991233408442484,32,False,2,DLMT,2048,True,True,0.0014853161279673964,30,False,8,10,1,8,False,6.992153999999999,32,False,32,True,8,6.993074591557515,1,30
77,4,128,1,8,6.9807455355773795,32,False,512,DLMT,2048,False,True,0.0013076329760297206,1,True,8,10,30,8,False,6.981556,8,False,32,True,256,6.982366464422621,1,30
78,1024,256,2,1024,6.987137479699597,1,False,256,DLMT,2048,True,True,0.0047556371812827085,1,True,1,10,23,8,False,6.990084999999999,32,True,8,True,2048,6.9930325203004005,1,30
79,128,256,2048,4,6.966445613414131,2048,False,1024,DLMT,2048,False,False,0.0011542309127725366,28,False,8,10,1,8,False,6.967161,8,False,1,True,2048,6.967876386585869,1,30
80,1,32,512,1,6.968836022744981,2048,False,2048,DLMT,2048,True,True,0.003765724365908796,1,False,8,10,10,8,False,6.971169999999999,8,True,8,True,4,6.973503977255017,1,30
81,1,512,1024,8,7.019866571655298,16,False,1,DLMT,2048,False,True,0.004000400479951838,1,False,8,10,1,8,False,7.022346000000001,1,True,1,True,1024,7.024825428344704,1,30
82,2048,2,1024,8,6.965060633895934,2048,False,2048,DLMT,2048,False,False,0.0010138288810248417,7,False,1,10,1,8,False,6.965689,32,False,32,True,2048,6.966317366104066,1,30
83,1,1024,4,16,7.01681825881639,256,False,2048,DLMT,2048,True,True,0.0009273084707906119,17,True,32,10,1,8,False,7.017393,1,False,32,True,2048,7.01796774118361,1,30
84,1,2,32,512,6.965143199552649,2048,False,128,DLMT,2048,False,True,0.0024569420017574815,27,True,1,10,1,8,False,6.966665999999999,1,True,32,True,2048,6.968188800447349,1,30
85,256,512,1024,1,6.975554815712122,256,False,512,DLMT,2048,True,True,0.006237843297165978,1,True,1,10,29,8,False,6.979420999999999,32,True,1,True,32,6.983287184287877,1,30
86,32,1,8,2,6.990960804580384,1,False,512,DLMT,2048,True,True,0.015958816873440154,9,False,8,10,1,8,False,7.000852,8,True,1,True,32,7.010743195419616,1,30
87,1,128,8,8,6.9932745557458755,256,False,1024,DLMT,2048,False,False,0.0009187622108031196,1,False,1,10,13,8,False,6.993844,32,False,32,True,1,6.994413444254125,1,30
88,1,2,2048,4,7.026166332004324,4,False,8,DLMT,2048,True,False,0.005218931787252886,15,True,1,10,1,8,False,7.029401,8,True,1,True,512,7.032635667995676,1,30
89,2048,128,1024,2,7.002458082606177,2048,False,256,DLMT,2048,False,True,0.0026894655602927547,13,False,1,10,1,8,False,7.004125,8,True,32,True,1,7.0057919173938235,1,30
90,128,4,2,128,6.989488034623443,128,False,2048,DLMT,2048,False,True,0.0008373177413622128,1,False,1,10,27,8,False,6.990007,8,False,1,True,512,6.990525965376557,1,30
91,1024,1,128,64,6.998428770765213,2048,False,8,DLMT,2048,True,False,0.005137552043531927,1,True,8,10,1,8,False,7.001613000000001,8,True,8,True,1,7.004797229234788,1,30
92,4,4,8,32,7.004362729344584,16,False,1,DLMT,2048,False,False,0.0027158505113499664,12,False,1,10,1,8,False,7.006046,1,True,8,True,64,7.007729270655417,1,30
93,1,1024,64,8,7.0245707522353555,8,False,1024,DLMT,2048,False,True,0.001257266876999451,1,True,32,10,21,8,False,7.02535,32,False,8,True,16,7.026129247764645,1,30
94,16,1,256,32,6.965043861138836,1,False,4,DLMT,2048,False,True,0.0011102684360099265,1,True,1,10,15,8,False,6.965732,1,False,32,True,1024,6.966420138861164,1,30
95,256,2048,1,2,7.014371696558804,512,False,1,DLMT,2048,False,False,0.0009153081448341957,1,False,1,10,9,8,False,7.014939,1,False,8,True,32,7.015506303441196,1,30
96,8,1,4,8,7.005405496456737,32,False,4,DLMT,2048,True,False,0.0004735493638472001,1,False,1,10,30,8,False,7.005699,32,False,1,True,1,7.005992503543263,1,30
97,1,1,2,1,7.004358281256353,32,False,2,DLMT,2048,False,False,0.00554492786247025,1,False,32,10,22,8,False,7.007795,32,True,32,True,64,7.011231718743646,1,30
98,16,32,8,4,7.001765592172804,2048,False,1,DLMT,2048,True,False,0.0043875921642741135,1,True,1,10,7,8,False,7.004485,8,True,1,True,32,7.007204407827196,1,30
99,16,4,2048,64,6.974902582872818,1,False,512,DLMT,2048,True,True,0.003914870240505967,1,False,32,10,27,8,False,6.977329,32,True,32,True,256,6.9797554171271825,1,30
100,16,128,2048,1024,6.955834777458513,1,False,2048,DLMT,2048,True,False,0.0007264055341198176,14,False,1,10,1,8,False,6.956284999999999,8,False,32,True,1,6.956735222541486,1,30
101,4,512,2048,512,7.0027310938648,2048,False,1,DLMT,2048,False,True,0.0008001131170027732,9,True,32,10,1,8,False,7.003227,1,False,8,True,512,7.0037229061351995,1,30
102,4,512,64,1024,6.955105260244096,4,False,2048,DLMT,2048,True,False,0.0011709350964080353,1,False,8,10,7,8,False,6.955831000000001,8,False,8,True,2048,6.956556739755905,1,30
103,16,16,1,1,6.9874366643953945,16,False,64,DLMT,2048,False,False,0.0009153600384548802,22,False,8,10,1,8,False,6.988003999999999,32,False,32,True,2,6.988571335604604,1,30
104,2048,2048,4,4,6.990557487817861,2048,False,2048,DLMT,2048,False,False,0.0041538122249325325,25,True,8,10,1,8,False,6.993132,1,True,32,True,128,6.99570651218214,1,30
105,1,32,256,1,6.9915917585533744,64,False,256,DLMT,2048,True,False,0.0011233414440854834,30,True,32,10,1,8,False,6.992288,8,False,32,True,1,6.992984241446626,1,30
106,256,1024,256,2,6.958055043964584,2048,False,2048,DLMT,2048,True,True,0.0007517905293364216,1,False,32,10,26,8,False,6.958521,1,False,8,True,1,6.9589869560354165,1,30
107,512,64,512,512,6.984368396250056,2048,False,128,DLMT,2048,True,True,0.0009287001669000735,1,False,32,10,7,8,False,6.9849440000000005,1,False,32,True,512,6.985519603749945,1,30
108,8,2048,256,1,6.990769723947096,64,False,2048,DLMT,2048,True,False,0.0036581062040349733,1,True,1,10,24,8,False,6.993036999999999,32,True,32,True,512,6.995304276052902,1,30
109,256,2048,1024,32,6.966234385280939,512,False,2048,DLMT,2048,False,True,0.005596389997131931,1,True,32,10,10,8,False,6.969703,1,True,1,True,1,6.973171614719061,1,30
110,2,2048,64,256,7.006353467829299,1,False,1,DLMT,2048,False,True,0.0011996420299407542,26,False,8,10,1,8,False,7.007097,8,False,1,True,256,7.007840532170701,1,30
111,4,1024,1,8,6.987861390578728,8,False,1024,DLMT,2048,False,False,0.0029584125810983167,3,True,32,10,1,8,False,6.989695,8,True,32,True,16,6.991528609421272,1,30
112,8,2,1,1,6.977421121807602,1024,False,2048,DLMT,2048,True,True,0.001246989975901994,26,True,32,10,1,8,False,6.978193999999999,32,False,8,True,8,6.978966878192397,1,30
113,2048,4,2048,1,6.975118228562541,1,False,1,DLMT,2048,True,False,0.001461404803604896,1,True,8,10,25,8,False,6.976024000000001,1,False,8,True,8,6.976929771437461,1,30
114,1,8,1,4,6.9893589954448325,256,False,8,DLMT,2048,False,False,0.0025992537390567725,1,True,1,10,24,8,False,6.990969999999999,8,True,32,True,32,6.9925810045551655,1,30
115,4,4,32,2048,6.99231756738164,8,False,2048,DLMT,2048,False,True,0.008125964804255573,25,True,32,10,1,8,False,6.997354,8,True,32,True,1,7.002390432618359,1,30
