id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
130,1,32,256,False,1,32,512,8,1024,1,17.74270264652818,2,64,2,RS,2,True,True,True,1024,16,True,1,4,2,2048,4,10,8,3,27,17.77098,16,False,0.045623717516221636,True,17.799257353471823
131,8,4,256,False,4,8,1,16,4,6,5.349844663916385,8,32,256,RS,2,False,True,False,1024,256,True,14,1,13,512,8,10,32,11,1,5.370323,1,True,0.03304049728741986,True,5.390801336083615
132,2,4,2048,False,1,128,16,8,64,1,5.65570684751526,8,256,2,RS,16,True,True,False,64,1,True,14,9,1,256,1,10,32,14,29,6.110522999999999,4,False,0.7338170343082806,True,6.5653391524847375
133,8,8,8,False,4,16,32,32,1,29,3.023114946277591,32,2,512,RS,2,False,True,True,64,2048,True,3,30,1,16,4,10,256,1,2,3.0492090000000003,16,True,0.04210110175517976,True,3.0753030537224095
134,16,1,512,False,1,64,32,128,64,25,2.630296268403089,1,64,2,RS,16,True,True,True,8,16,True,1,26,12,128,2,10,128,1,15,2.728843,1,True,0.15899890521950147,True,2.8273897315969108
135,1,1,256,False,1,1,512,16,512,27,8.565015742901723,16,128,2,RS,2,True,True,True,128,64,False,1,29,6,2,16,10,128,1,15,9.837627,2,True,2.0532776010907536,True,11.110238257098276
136,1,4,512,False,8,64,128,16,256,17,6.0147958048642876,512,8,64,RS,8,True,False,True,512,128,False,29,1,8,256,2,10,2048,16,1,6.014956,1,False,0.0002584646977830645,True,6.015116195135712
137,4,2,64,False,4,2,2048,64,1,30,5.212062443088528,1024,1,1,RS,4,True,True,False,2048,64,True,1,18,16,16,8,10,1,15,1,5.216514,4,False,0.0071823049225162765,True,5.220965556911472
138,1,1,256,False,16,32,1,256,32,18,11.803484557638765,2,2,8,RS,4,False,True,False,2048,32,False,1,2,27,128,16,10,256,1,22,11.803769999999998,2,False,0.0004605431575867,True,11.804055442361232
139,16,4,512,False,2,128,32,2,64,10,6.864689608044564,8,256,1,RS,4,True,True,True,128,1024,True,1,12,8,256,16,10,64,12,1,6.869786,4,False,0.008222705394211818,True,6.8748823919554365
