id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
48,512,1,128,0.0906495912066294,8,False,512,64,DLMT,False,True,True,True,False,28,1,1,35,0.09067183165051347,3.35659842393936e-05,0.09066071142857143,20,1,True,14,8
49,512,128,1,0.26700012692006564,32,False,128,1,DLMT,False,True,False,True,False,30,1,512,35,0.2678546159370771,0.0012896219620097884,0.26742737142857137,30,27,True,1,1
50,1,1,1,0.17796723098976872,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,0.17815859758165983,0.00028881653805324465,0.17806291428571427,1,1,True,1,1
51,128,2048,2048,0.10205485217548473,8,False,32,16,DLMT,False,True,True,False,True,10,1,128,35,0.10212320496737244,0.00010316020431882717,0.10208902857142858,1,8,True,2,8
52,128,256,1024,0.09290015973418686,8,False,1,128,DLMT,True,False,True,False,True,10,1,32,35,0.09292424026581314,3.634310309889961e-05,0.0929122,1,8,True,2,8
53,128,256,128,0.09390006202713531,8,False,128,32,DLMT,False,True,True,False,True,10,1,1,35,0.09392531511572179,3.811276330221341e-05,0.09391268857142855,1,8,True,2,8
54,128,1,1,0.10758942679430153,8,False,512,1,DLMT,False,False,True,False,True,10,1,64,35,0.10761777320569846,4.278130432794289e-05,0.1076036,1,8,True,2,8
55,128,1,2048,0.09170351251743156,8,False,1,32,DLMT,False,True,True,True,False,10,1,512,35,0.09173121891113986,4.181536930608333e-05,0.09171736571428571,1,8,True,2,8
56,128,1,512,0.09115760126121485,8,False,512,32,DLMT,True,False,True,False,False,10,1,512,35,0.09118630159592804,4.331545663701885e-05,0.09117195142857144,1,8,True,2,8
57,128,256,256,0.09142783081938193,8,False,16,1,DLMT,False,True,True,False,False,10,1,32,35,0.09144987775204667,3.327393096152929e-05,0.0914388542857143,1,8,True,2,8
58,128,1,256,0.09427868113869636,8,False,128,128,DLMT,True,False,True,True,True,10,1,128,35,0.09430853028987507,4.5049286931773604e-05,0.09429360571428572,1,8,True,2,8
59,128,512,1,0.09131301188751179,8,False,512,32,DLMT,True,True,True,False,False,10,1,64,35,0.09133717096963109,3.6461653997657166e-05,0.09132509142857144,1,8,True,2,8
60,128,2048,2048,0.1013263496196327,8,False,1,16,DLMT,True,True,True,False,True,10,1,64,35,0.10134639323751012,3.025046466163577e-05,0.10133637142857141,1,8,True,2,8
61,128,128,512,0.0930601723133074,8,False,64,1,DLMT,True,True,True,True,True,10,1,512,35,0.09311193625812114,7.81237894730703e-05,0.09308605428571427,1,8,True,2,8
62,128,1,2048,0.09184785471433889,8,False,64,128,DLMT,False,True,True,True,False,10,1,128,35,0.09186809385708967,3.0545557010164304e-05,0.09185797428571428,1,8,True,2,8
63,128,2048,1,0.0967219129684214,8,False,1,128,DLMT,False,True,True,True,False,10,1,1,35,0.09676450417443576,6.42800007619719e-05,0.09674320857142858,1,8,True,2,8
64,128,2048,2048,0.09057662629947233,8,False,32,1,DLMT,True,False,True,False,False,10,1,64,35,0.09060744227195622,4.650844435066025e-05,0.09059203428571427,1,8,True,2,8
65,128,1,2048,0.10688941642833244,8,False,512,128,DLMT,False,False,True,False,True,10,1,1,35,0.10692532642881045,5.419651317950511e-05,0.10690737142857144,1,8,True,2,8
66,128,2048,2048,0.0960994543631294,8,False,64,32,DLMT,True,False,True,True,False,10,1,1,35,0.09612053420829915,3.1814371800510034e-05,0.09610999428571428,1,8,True,2,8
67,128,2048,1,0.09141089388311627,8,False,64,128,DLMT,False,False,True,False,False,10,1,512,35,0.09143312897402658,3.355790536140347e-05,0.09142201142857143,1,8,True,2,8
68,128,2048,256,0.09490445102401157,8,False,512,128,DLMT,True,True,True,True,True,10,1,64,35,0.09493438897598844,4.518330791659369e-05,0.09491942,1,8,True,2,8
69,128,2048,256,0.09343154228931885,8,False,1,32,DLMT,False,False,True,False,True,10,1,256,35,0.09345365199639544,3.3368672097508245e-05,0.09344259714285715,1,8,True,2,8
70,128,1,1,0.09430800531364343,8,False,1,1,DLMT,True,True,True,False,True,10,1,512,35,0.09433613182921373,4.244943056275226e-05,0.09432206857142858,1,8,True,2,8
71,128,128,1,0.092473764025649,8,False,1,32,DLMT,True,False,True,True,False,10,1,1,35,0.09249813311720817,3.6778606913947734e-05,0.09248594857142858,1,8,True,2,8
72,128,2048,1024,0.09030390452342081,8,False,512,1,DLMT,True,True,True,False,False,10,1,1,35,0.09032774119086491,3.597505553029963e-05,0.09031582285714286,1,8,True,2,8
73,128,1,1,0.09400099702773616,8,False,64,128,DLMT,True,True,True,False,True,10,1,1,35,0.09403280297226381,4.8002541599378036e-05,0.09401689999999999,1,8,True,2,8
74,128,1,128,0.09021492917702256,8,False,1,1,DLMT,True,False,True,True,False,10,1,1,35,0.0902416936801203,4.039383808332757e-05,0.09022831142857143,1,8,True,2,8
75,128,512,1,0.10318365063363744,8,False,512,16,DLMT,False,False,True,True,True,10,1,64,35,0.1032076636520769,3.6241210053231645e-05,0.10319565714285717,1,8,True,2,8
