id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
104,2,512,2048,1024,6.962040456317303,256,False,2048,RS,2048,True,False,0.0009286032522020026,1,True,8,10,16,1,False,6.962616,1,False,8,True,2048,6.963191543682696,26,1
105,512,32,2048,32,6.999140439627621,1024,False,256,RS,2048,True,True,0.0052058506509504035,1,False,1,10,18,32,False,7.002367,32,True,1,True,2048,7.005593560372378,1,18
106,256,16,32,32,6.978334423224174,1,False,64,RS,512,True,True,0.0017337615176257865,1,True,1,10,14,8,False,6.9794089999999995,1,False,8,True,256,6.980483576775825,22,1
107,16,32,32,256,7.0039286762862325,16,False,128,RS,256,True,True,0.0027433645401221778,4,True,1,10,1,8,False,7.005629000000001,32,True,8,True,512,7.007329323713769,25,1
108,2048,64,16,64,6.986870573877127,1,False,1,RS,64,False,True,0.000681557774513688,1,True,32,10,6,1,False,6.987292999999999,1,False,8,True,1,6.987715426122872,26,1
109,1,32,256,64,6.973407105362548,256,False,32,RS,256,False,True,0.0009582113545558888,1,True,1,10,8,1,False,6.9740009999999995,1,False,32,True,1,6.974594894637451,22,1
110,64,16,4,4,7.036620311252103,1024,False,1,RS,128,False,True,0.0010982481504651584,12,False,32,10,1,1,False,7.037300999999999,1,False,1,True,8,7.037981688747895,1,11
111,1,32,8,256,6.963327296398328,16,False,1,RS,8,False,False,0.001045028707739745,1,True,8,10,22,8,False,6.9639750000000005,8,False,8,True,2048,6.964622703601673,4,1
112,2,1024,2,4,7.02909662160535,512,False,1,RS,256,False,False,0.001146150513676119,30,True,8,10,1,8,False,7.029807,32,False,32,True,512,7.0305173783946495,7,1
113,8,8,16,1,7.019779059232714,2048,False,16,RS,256,False,True,0.0006791612474221345,12,False,1,10,1,8,False,7.0202,32,False,8,True,8,7.020620940767286,1,9
114,128,16,64,16,7.00850891501222,256,False,128,RS,64,True,False,0.0011021143316371528,25,True,32,10,1,1,False,7.0091920000000005,8,False,1,True,16,7.009875084987781,28,1
115,2,4,1,4,6.983694586737472,32,False,16,RS,2,False,False,0.0015979690234795053,24,False,1,10,1,1,False,6.984685000000001,8,True,8,True,128,6.98567541326253,19,1
116,4,2,1,64,7.0383886893436935,128,False,512,RS,32,True,False,0.0009475885182927292,1,False,32,10,9,8,False,7.038976,8,False,32,True,512,7.039563310656306,20,1
117,8,4,128,1024,6.989072866877291,32,False,128,RS,2048,True,True,0.008298119304999093,13,False,1,10,1,8,False,6.994216,1,True,32,True,1,6.9993591331227085,19,1
118,64,4,256,16,6.953540481631828,512,False,32,RS,1,False,False,0.0008462771413669126,1,True,1,10,3,8,False,6.954065,8,False,32,True,64,6.954589518368172,11,1
119,1,1024,128,256,7.0612921414193375,1024,False,1,RS,128,True,False,0.0010936818550198874,1,True,32,10,25,32,False,7.0619700000000005,32,False,32,True,2048,7.062647858580664,3,1
120,1,64,128,32,6.964442900310944,1,False,128,RS,2048,False,True,0.0005358217987353432,1,False,8,10,21,8,False,6.964775,1,False,8,True,32,6.965107099689057,18,1
121,4,1,16,8,7.018577413498778,2048,False,16,RS,1024,False,True,0.0012513596605291917,24,True,8,10,1,8,False,7.019353000000001,32,False,1,True,8,7.020128586501223,11,1
122,4,32,8,4,6.989584234835941,8,False,256,RS,2048,True,True,0.0031555031294550175,28,False,8,10,1,8,False,6.991539999999999,1,True,8,True,512,6.993495765164057,12,1
123,16,32,16,1,6.962321262685778,512,False,32,RS,1,False,True,0.0007611182562519867,1,True,1,10,18,1,False,6.962793,32,False,32,True,128,6.963264737314221,12,1
124,256,512,128,4,6.980861909026182,1,False,2048,RS,1024,False,True,0.006629757838714871,14,True,32,10,1,32,False,6.984971,8,True,32,True,16,6.989080090973817,3,1
125,512,1,64,2,7.019807006190487,512,False,1024,RS,2048,True,False,0.0013455961504105604,1,False,32,10,25,32,False,7.020641,32,False,8,True,16,7.021474993809513,1,16
126,2,16,2,64,7.024231056608352,32,False,256,RS,4,True,True,0.0025943147457469663,1,False,8,10,1,32,False,7.025839,32,True,1,True,256,7.027446943391649,1,19
127,8,1,8,64,7.001498370824712,8,False,512,RS,32,False,True,0.0035602563109978246,1,True,32,10,25,8,False,7.003704999999999,1,True,32,True,512,7.005911629175286,1,25
128,1,256,1,1,6.979577078941067,4,False,256,RS,2048,False,True,0.004341630569267707,30,False,8,10,1,8,False,6.982268,32,True,1,True,32,6.984958921058934,1,6
129,2,8,64,512,7.1130997213523335,1,False,64,RS,256,False,True,0.013575905273682475,1,True,1,10,15,32,False,7.1215139999999995,32,True,32,True,512,7.129928278647665,1,9
130,8,16,8,16,7.0048884283789885,128,False,32,RS,32,True,True,0.0038699432812381506,17,False,8,10,1,1,False,7.007287000000001,1,True,8,True,1024,7.009685571621013,1,20
131,16,8,8,2,6.9899221950061765,1024,False,128,RS,1,False,True,0.0010984357059017973,1,True,8,10,9,32,False,6.990603,1,False,32,True,512,6.991283804993824,28,1
132,4,8,16,16,6.9734113433031535,1,False,16,RS,256,False,True,0.00376520716561529,25,True,1,10,1,32,False,6.975744999999999,1,True,1,True,16,6.9780786566968445,1,2
133,2,8,128,2,6.951099073326197,256,False,1,RS,512,True,True,0.002802421096123867,29,True,1,10,1,1,False,6.952836,1,True,32,True,2,6.954572926673802,1,30
134,512,8,2,128,7.0038121384051335,2048,False,1024,RS,512,False,True,0.004481903613421548,1,True,8,10,19,32,False,7.00659,32,True,8,True,512,7.009367861594867,1,1
135,4,4,1024,2,6.985847847106149,128,False,16,RS,1,True,True,0.0033981441994123856,1,True,32,10,13,8,False,6.987953999999999,1,True,8,True,4,6.990060152893849,8,1
136,8,2,16,256,7.057014309923038,1,False,4,RS,1024,False,False,0.0007691092250128998,15,True,1,10,1,8,False,7.057491000000001,32,False,8,True,2048,7.057967690076963,1,24
137,4,1,64,2,6.964653521694624,8,False,64,RS,1024,False,True,0.009666870486356926,1,True,8,10,28,32,False,6.970644999999999,32,True,1,True,2048,6.976636478305375,1,10
138,1024,1,32,4,6.992797698893043,2048,False,128,RS,1024,False,True,0.0008846490829700957,6,True,8,10,1,1,False,6.993346000000001,1,False,8,True,4,6.993894301106958,1,12
139,2,4,1,8,6.981083405657367,1,False,1,RS,2048,True,False,0.0012061960868781304,1,False,1,10,4,1,False,6.981831,1,False,8,True,8,6.982578594342632,1,2
140,8,16,1,16,6.976380224577022,64,False,1,RS,32,True,False,0.0011774463894378777,1,False,8,10,24,8,False,6.977110000000001,1,False,8,True,16,6.9778397754229795,1,13
141,4,2,4,4,6.99022927500363,1,False,64,RS,64,False,True,0.0009563242128064753,27,False,1,10,1,8,False,6.990822,1,False,32,True,8,6.991414724996369,1,18
142,8,64,4,2,7.052561742257896,16,False,64,RS,2048,True,False,0.0036919588296729484,1,True,1,10,23,8,False,7.05485,8,True,1,True,1,7.057138257742104,30,1
143,32,16,2,2,6.990805035945071,1024,False,64,RS,2048,False,False,0.0013552287629771892,1,True,8,10,30,1,False,6.991645,1,False,1,True,8,6.992484964054929,8,1
144,8,2048,64,512,7.021885295170419,1024,False,1,RS,1,False,True,0.0048559679776538685,4,False,1,10,1,8,False,7.024894999999999,1,True,8,True,1024,7.027904704829579,1,8
145,512,16,1,64,6.960856868875939,1,False,2048,RS,16,False,True,0.0007133505449638007,8,False,1,10,1,1,False,6.9612989999999995,32,False,1,True,128,6.96174113112406,29,1
146,1,2,16,4,6.982720839255253,1024,False,1,RS,16,True,True,0.005213273060180053,1,True,32,10,3,1,False,6.985952,32,True,8,True,1,6.989183160744747,3,1
147,8,64,1,64,6.994376309696754,2048,False,512,RS,16,False,False,0.0006481018438486706,1,False,32,10,15,1,False,6.994777999999999,32,False,1,True,1,6.995179690303244,1,21
148,2048,2,4,16,7.0027442459653875,2048,False,256,RS,16,True,False,0.0010063875992876478,1,False,1,10,14,32,False,7.003367999999999,1,False,8,True,512,7.003991754034611,20,1
149,2,16,2,16,7.004720329807856,32,False,512,RS,512,False,False,0.0016064507462104458,30,True,8,10,1,32,False,7.005716,32,False,8,True,2048,7.006711670192143,6,1
150,16,4,2,4,6.96535800094573,256,False,1,RS,2,True,False,0.0010019426131271812,20,True,1,10,1,32,False,6.965979,8,False,32,True,16,6.96659999905427,30,1
151,1024,1,4,16,6.9803058233324515,1024,False,256,RS,64,True,False,0.0010683800821804877,21,True,1,10,1,1,False,6.980968,1,False,1,True,2048,6.981630176667548,17,1
152,2048,8,256,4,6.971885449629243,2048,False,32,RS,2048,True,False,0.0055220680908515726,13,True,32,10,1,1,False,6.975308,8,True,8,True,16,6.9787305503707575,6,1
153,2,16,8,16,6.973720288137404,128,False,256,RS,256,True,True,0.0037104393270879733,13,False,1,10,1,8,False,6.97602,1,True,8,True,2048,6.978319711862596,6,1
154,8,8,16,2,6.996064620248448,64,False,1,RS,256,True,False,0.008300130661622163,1,True,8,10,22,32,False,7.001209,1,True,32,True,32,7.006353379751553,7,1
