id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
108,True,True,64,RS,1.8771670398112157,4,4,1,1,3,10,8,32,10,1.8773879999999998,False,False,False,0.0003565052594282707,1.877608960188784,False
109,False,True,256,RS,1.3200713638126458,8,16,16,17,1,4,1024,1,10,1.320386,False,True,False,0.0005076455456319684,1.3207006361873543,False
110,True,True,2048,RS,2.4295796650027173,64,32,2048,19,1,5,4,256,10,2.430928,True,True,True,0.0021754530562620457,2.432276334997283,False
111,True,True,1024,RS,0.3068075230355186,32,8,512,9,1,4,2,2048,10,0.309858,True,True,True,0.004921751233047045,0.31290847696448143,False
112,True,True,1024,RS,0.15585917277470995,2,1024,1,1,3,5,4,32,10,0.1658327,True,True,False,0.01609165402343712,0.17580622722529005,False
113,True,True,8,RS,1.7150441089225745,16,4,256,1,6,9,2,2048,10,1.715674,False,False,True,0.0010162893288822898,1.7163038910774253,False
114,False,True,128,RS,1.9817429633291395,2,32,32,7,3,1,16,1,10,1.981964,False,True,False,0.000356628658410949,1.9821850366708607,False
115,True,True,256,RS,1.3605529003220598,1,256,512,1,21,3,16,1024,10,1.3613780000000002,False,True,False,0.001331246032857938,1.3622030996779406,False
116,False,True,1024,RS,3.512517586168237,512,1024,2048,15,1,1,32,32,10,3.512784,False,True,True,0.000429841831375245,3.513050413831763,False
117,False,True,1,RS,3.0557113824730227,16,16,64,9,11,1,16,32,10,3.0562530000000003,False,True,True,0.0008738655502993744,3.056794617526978,False
118,True,True,64,RS,1.8493749811957558,64,64,1024,26,2,1,1,64,10,1.849624,False,False,False,0.0004017760570268212,1.849873018804244,False
119,True,True,1,RS,2.416765779331582,1,128,512,19,5,1,4,1024,10,2.4169840000000002,False,True,False,0.0003520852169574433,2.4172022206684183,False
120,True,True,256,RS,2.6043305855215637,1,8,256,3,18,1,64,2048,10,2.604565,False,True,True,0.0003782129030057561,2.6047994144784363,False
121,False,True,2,RS,0.2645221800591287,256,2,256,4,1,7,8,1,10,0.27251580000000003,True,True,True,0.012897199112985739,0.28050941994087136,False
122,True,True,1024,RS,0.10718203873148807,16,1,64,1,6,18,2,512,10,0.11981810000000001,True,False,False,0.020387483942115075,0.13245416126851195,False
123,False,True,1024,RS,1.3260356508988533,64,1024,2048,1,17,4,4,128,10,1.328868,True,False,False,0.004569815751209284,1.3317003491011465,False
124,True,True,1,RS,2.6416304975426566,4,128,2048,1,1,27,32,32,10,2.641863,False,True,False,0.0003751279781621749,2.642095502457343,False
125,False,True,512,RS,0.17655543116800687,128,512,1,1,3,16,4,8,10,0.1877488,True,False,True,0.018059791138327154,0.19894216883199312,False
126,False,True,1,RS,4.562310007622827,16,4,128,19,5,1,2,64,10,4.562558,False,True,False,0.0004001199820054732,4.562805992377173,False
127,False,True,512,RS,2.003366467276827,512,8,1024,1,25,2,4,2048,10,2.0036119999999995,False,False,True,0.0003961514861767522,2.003857532723172,False
128,False,True,1024,RS,0.11323067107446987,1,1,8,3,17,1,1,2,10,0.12157470000000001,True,False,True,0.01346256179967245,0.12991872892553014,False
129,False,True,256,RS,1.6869910063691511,16,256,2048,1,10,6,4,4,10,1.688902,True,True,True,0.0030832670983877044,1.6908129936308487,False
130,True,True,1024,RS,1.7786018383101523,128,32,128,18,1,3,4,1,10,1.7789259999999998,False,True,True,0.0005230143401475726,1.7792501616898473,False
131,True,True,2048,RS,0.19572446665608162,8,512,8,11,1,11,2,2048,10,0.2044406,True,True,True,0.014062928693554556,0.21315673334391838,False
132,True,True,256,RS,0.6708914791162289,1,64,1024,3,1,7,1,32,10,0.6720612,True,False,True,0.001887270505253543,0.6732309208837711,False
133,True,True,32,RS,0.30702755057162084,256,16,512,1,28,4,128,128,10,0.3158411,True,True,False,0.014220103371283913,0.3246546494283791,False
134,True,True,2,RS,0.2281441341841495,16,2,32,2,1,9,8,1024,10,0.2315144,True,False,False,0.0054377102754744125,0.23488466581585052,False
135,True,True,2048,RS,1.635039111293642,4,16,512,4,1,4,2,256,10,1.6353529999999998,False,True,False,0.000506439532422205,1.6356668887063577,False
136,True,True,16,RS,1.0789258312005385,64,1,64,1,5,16,16,16,10,1.0791220000000001,False,False,True,0.00031650592411518365,1.0793181687994617,False
137,False,True,128,RS,0.08979607381274274,16,64,64,8,12,1,2,256,10,0.09760674000000001,True,False,False,0.012602014827732901,0.10541740618725728,False
138,True,True,16,RS,3.930393324036348,32,2,2048,22,5,1,32,1024,10,3.9306850000000004,False,False,True,0.00047060067998251013,3.930976675963653,False
139,True,True,64,RS,2.723085283083734,16,4,2048,1,1,30,64,512,10,2.723337,False,False,True,0.0004061292897587756,2.723588716916266,False
140,True,True,256,RS,0.07004459822357004,16,32,16,1,3,4,1024,1024,10,0.08157089000000001,True,True,False,0.018596941207437854,0.09309718177642998,False
141,True,True,64,RS,0.2087692997098039,32,64,128,2,1,18,64,256,10,0.2244885,True,True,False,0.025361933334231437,0.2402077002901961,False
142,False,True,128,RS,0.22904342849623105,32,16,256,1,2,8,8,512,10,0.2381135,True,True,False,0.014633985480722601,0.24718357150376896,False
143,True,True,512,RS,1.1943239369062932,1024,32,1,1,1,21,16,32,10,1.1955429999999998,False,False,True,0.001966881033514694,1.1967620630937064,False
144,True,True,128,RS,1.1073949647518053,128,8,512,3,1,16,1,16,10,1.108186,False,True,False,0.0012762852345773097,1.1089770352481945,False
145,False,True,2048,RS,0.2248894119038639,256,2,256,6,1,2,256,1,10,0.231683,True,False,True,0.01096102379342367,0.2384765880961361,False
146,True,True,64,RS,1.1628110396181048,128,4,1,1,5,6,8,1024,10,1.163286,False,False,False,0.0007663184716552143,1.1637609603818952,False
