id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
251,4,10,2,8,1,0.2586538,1,1,RS,0.25860564882639037,True,False,True,7.768886664124263e-05,False,0.2587019511736096,False
252,16,10,1,32,1,0.22677909999999998,18,1,RS,0.2267578772008145,True,False,True,3.4241641315796556e-05,False,0.22680032279918547,False
253,2048,10,512,4,8,0.7731193,1,13,RS,0.772940956405341,True,False,False,0.00028774608598555393,True,0.7732976435946589,False
254,128,10,32,8,4,0.2165763,1,25,RS,0.21625795489892577,True,False,True,0.0005136296428361571,True,0.21689464510107423,False
255,1,1,256,32,4,inf,5,1,RS,inf,False,True,False,inf,True,inf,False
256,512,10,64,1,4,0.23761369999999998,19,1,RS,0.23744336141430447,True,False,True,0.0002748305114065763,False,0.2377840385856955,False
257,1,1,1024,32,1,inf,1,14,RS,inf,False,True,True,inf,True,inf,False
258,128,1,4,1,16,inf,1,3,RS,inf,False,True,True,inf,True,inf,False
259,4,1,32,1,2,inf,11,1,RS,inf,False,True,False,inf,False,inf,False
260,2,1,2,1,16,inf,1,6,RS,inf,False,True,True,inf,False,inf,False
261,64,10,1024,4,2,0.194476,1,2,RS,0.19443597160415266,True,False,True,6.458327956987181e-05,True,0.19451602839584736,False
262,4,1,1024,16,2,inf,1,4,RS,inf,False,True,True,inf,True,inf,False
263,8,1,256,16,8,inf,1,2,RS,inf,False,True,True,inf,True,inf,False
264,16,10,256,4,32,0.8077826,1,25,RS,0.8076086816706302,True,False,True,0.0002806062009293668,False,0.8079565183293699,False
265,512,10,32,16,1,0.22001759999999998,9,1,RS,0.21998485018063296,True,False,False,5.283975775871996e-05,True,0.220050349819367,False
266,128,1,8,32,8,inf,8,1,RS,inf,False,True,True,inf,True,inf,False
267,1,1,4,8,32,inf,1,7,RS,inf,False,True,False,inf,False,inf,False
268,2048,1,16,8,1,inf,17,1,RS,inf,False,True,False,inf,False,inf,False
269,4,1,32,8,1,inf,25,1,RS,inf,False,True,False,inf,False,inf,False
270,1,10,128,4,32,0.9662408000000001,1,15,RS,0.9661827845363402,True,False,False,9.360427340671668e-05,False,0.96629881546366,False
271,64,10,128,16,8,1.0458310000000002,13,1,RS,1.0456633927083634,True,False,True,0.00027042374156124253,False,1.045998607291637,False
272,2048,10,128,16,8,1.1112009999999999,23,1,RS,1.1110528586145036,True,False,True,0.0002390167358157243,False,1.1113491413854961,False
273,1024,10,64,8,1,0.2353152,6,1,RS,0.23529381608332928,True,False,False,3.450159416606801e-05,True,0.23533658391667073,False
